,job_title,job_url,job_country,job_company,job_location,job_workplace,job_industry,job_experience,job_salary,job_published,job_roles,job_requirements
216,Senior Data Analyst,https://www.dataanalyst.com//job/senior-data-analyst-4e8,United States,Impact.com,Multiple Locations,Hybrid,Tech,['5 - 10 '],-121904----152380,"Feb 17, 2023",     Lead Marketplace Analysts provides quantitative analysis  market expertise and a strategic perspective to our stakeholders throughout the Marketplace Business Unit. In this role  you will serve as an analytics expert for marketplace leaders  using data driven insights to help them make better decisions. You will be responsible for formulating quantitative research based on business needs  performing data analysis  and translating data into meaningful interpretations and recommendations and implementing process improvements. The metrics and analysis you develop will serve as a key input in operations decision-making and product development.       Essential Responsibilities           Collaborate with cross-functional partners to understand their business needs  formulate and complete end-to-end analysis that includes data gathering  analysis  ongoing scaled deliverables and presentations. You work to turn business questions into data analysis  and make meaningful strategic and operational recommendations.          Work with large  complex datasets  structured and unstructured   and perform basic descriptive and predictive analysis through statistical modeling  data mining  and data analysis  leveraging statistical software  scripting and database languages.          Collaborate with Marketplace leaders  consult and jointly define a list of business metrics  create automated workflow to retrieve and monitor the trending of those metrics. Identify actionable insights from these trends  and provide strategic recommendations.          Deliver effective presentations of findings and recommendations to multiple levels of leadership  creating visual displays of quantitative information          Develop and automate reports  iteratively build and prototype dashboards to provide insights at scale  solving for analytical needs          Be a self-starter  motivated by a passion for developing the best possible solutions to problems       ,     Core Competencies And Required Experience           Bachelor s degree with a quantitative focus  e.g.  Statistics  Computer Science  Engineering  Mathematics  Data Sciences  Econometrics . Master s degree is a plus.          6-8 years of relevant experience in an analytical function. Experience at the top 3 management consulting a plus.          Deep interest and aptitude in data  metrics  analysis and trends and applied knowledge of measurement  statistics and experiment evaluation. Experience with experimental design is a plus.          Experience working with statistical packages  e.g. R  SAS  Stata  MATLAB  etc  with strong preference for Python          Experience with articulating product questions  pulling data from datasets  SQL  and using statistics to arrive at an answer          Experience in scripting with SQL  extracting large sets of data  and design of ETL flows          Work experience in an interdisciplinary cross-functional field          Distinctive problem solving skills and impeccable business judgment          Capable of translating analysis results into business recommendations          Strong written and verbal communication skills       
217, Data Analyst,https://www.dataanalyst.com//job/data-analyst-103,United States,Ask Media Group,"Oakland, CA",Hybrid,Tech,['3 - 5 '],-70000----115000,"Feb 17, 2023",     Ask Media Group is looking for a San Francisco Bay Area-local Business Data Analyst to help us grow our AMG properties. In this role  you ll work collaboratively with the AMG analytics team and business stakeholders to both conduct analysis on traffic marketing system health trends as well as use data insights to help determine our optimal site layout to drive user retention and monetization.       What You ll Do           Scope   Ask Media Group acquires users across search  content  email  and social channels driving traffic to a host of different landing pages. You ll use your experience in analytics  web traffic trends  and A B testing to boost volume and optimize the user experience across channels.          System monitoring   You ll use our host of internal external tools to help maintain and monitor our most vital systems to ensure that crucial systems remain healthy and that use patterns are well known for the sake of future planning.          Business partnership   You ll work closely with marketing  product  and development teams to best understand their tactics  initiatives  and goals. You ll use your in-depth knowledge of business goals  methods  and tactics to choose the best analytic method and approach.          Analysis ownership   You ll own projects from beginning to end  providing an analytic or test plan  compiling data and or interpreting results and then delivering results to stakeholders of diverse backgrounds   levels. You are responsible for both the analytic results themselves  as well as ensuring that stakeholders understand the results and utilize the findings.          Statistical testing   You ll conduct formal statistical analysis on website trends and especially on the results of A B tests in coordination with product and development teams. You ll use statistical best practices to  prepare data for analysis  verify assumptions for stat testing  conduct analysis and be prepared to defend your method and findings to a diverse audience.          Reporting pipeline   Create and maintain reports on site performance and A B testing results. You are both the creator and consumer of reports and KPIs  being responsible for data accuracy and timeliness  but also using insights derived from them to determine further areas for investigation and to drive the future direction of product efforts.          Stakeholder communication   Deliver performance summaries that clearly and concisely articulate analytical findings. Be prepared to explain  defend  or revise your analysis in the face of new data or new perspectives.       ,     What You Bring To Us           B.S. or higher in a quantitative field  e.g.  statistics  finance  economics  mathematics  computer science           M.A. or higher degree preferred          3+ years of analytics experience  - Experience in web analytics  especially content and search site metrics   KPIs          2+ years of experience in A B testing - Versed in parametric   non-parametric statistical analysis plus 1+ years  experience in applying findings to business problems          Must have advanced knowledge of SQL          Experience in trend analysis   outlier detection          Skilled in Excel  PowerPoint  Looker  Tableau  or similar dashboard software           Experience with Python or R is preferred          Track record of demonstrating initiative and independent thinking          Speed  resourcefulness and a go-getter demeanor. Moving quickly and executing to allow for continual iteration is a core qualification of our team.          Willingness to supply new insights and articulate them to a variety of partners and not just execute on existing ones.          A love of data - you go get the data you need and turn it into an insightful story. You know how to convert data into decisions without getting stuck in paralysis by analysis.          Strong oral and written communication skills       
218,Senior Data Analyst,https://www.dataanalyst.com//job/senior-data-analyst-6f2,United States,COOP by Ryder,Remote,Remote,Logistics,['0 - 3 '],-80000----95000,"Feb 17, 2023",     We are looking for a full-time Data Analyst  Web Analytics  to work in our analytics team  and collaborate closely with the marketing and product teams to evolve our different Web Analytics Platforms. The team is working to build a growing Platform on cloud based technology  adding new features and capabilities each sprint. The Data Analyst will be responsible for reporting requirements  analyzing customer behavior and the management of the web analytics tools including Google Analytics  GA4   Improvado  Medalia and Hubspot. The Google Cloud Platform  BigQuery  Data Studio  &amp  more  is our integrated data platform across our business  and we want to continue integrating these separate data sources into GCP.       The ideal candidate should be familiar with Analytics Platforms  Web Applications  Digital Media Publishing Platforms  Ecommerce Platforms  Customer Relationship Management Platforms  CRM   and will report to the Data Analytics Manager. The audience of this documentation will be team members across Engineering  Marketing  Product  Design  Sales and Operations.       This is a FULLY REMOTE position.       Essential Functions            Own the different analytics and reporting suites within Google Analytics Google Tag Manager  Hubspot  Medallia and Improvado.          Responsible for tracking  reporting  and analyzing the performance of marketing activities  ad-hoc analytic requests  and development automation of regular reports.          Compile  distribute  and provide recommendations by developing reports on customer behavior &amp  trends as well as overall industry specific research          Based on the analytics  evaluate  test and recommend new opportunities for enhancing the product.          Advises other marketing functions  e-commerce website  online offline advertising  brand  product development  as the knowledge owner for customer and market data.          Additional Responsibilities            Consult with the executive team and the platform team on the newest technology or updates to the analytics suite and its implications in the industry.          Partner with the application team members and any stakeholders to ensure capturing any functional and technical requirements  and generate analytics documentation accordingly.          Follow the process vision set forward by the  Data Team Leadership  to ensure all reporting and analytics follows the established business patterns.          Creates presentations to provide market and consumer insights to other marketing and sales departments.          Performs other duties as assigned.       ,     Skills and Abilities            Experience working in web applications  ideally  in a B2B and or two-sided marketplace.          Experience in developing BI reports  Google Data Studio  Tableau  PowerBI  etc.  highlighting analytics and data patterns.          Experience in working with either SQL  Python  or R to gather  transform  analyze  and give recommendations based on data.          Experience managing Google Analytics version 4  GA4  and Google Tag Manager.  GTM   and creating requirements for the product engineering teams.          Ability to present work for approval to a technical and non-technical team.          Additional experience in creating analytics reporting via diagrams or supporting visuals is beneficial.          Qualifications            Bachelor s degree required in Supply Chain  Data Analytics or equivalent          Master s degree preferred in Supply Chain  Data Analytics  MBA or equivalent          Two  2  years or more Applied Project s  experience in demonstrating  digital transformation  data management in an educational project. required          Two  2  years or more experience in creating dashboards for diagnostic analysis across the business. Experience working in a cloud environment. required       
219,Senior Data Analyst,https://www.dataanalyst.com//job/senior-data-analyst-47,United States,Mezmo,Remote,Remote,Tech,['5 - 10 '],-130000----190000,"Feb 17, 2023",     We are in the foundational steps of building an Internal Data and Analytics practice  which will be focused on managing the data infrastructure to enable all of our business units to answer key questions and make strategic decisions. If you want to investigate data across the entire company to answer critical business questions  we want to meet you.       You will establish key metrics for many stakeholders within the company  including Product  Marketing  Sales  and Customer Success  and identify opportunities for data to guide critical strategic product and business decisions. Additionally  you will be an integral partner in overseeing and scaling our data infrastructure  which is not just used by the data team  but the larger organization as well.       As a Sr. Data Analyst  you will be joining Mezmo s Product team to create the foundation for the data organization. You will help to build the next generation of our data infrastructure and enable the company to answer key questions and make better choices.       Responsibilities            Work closely with cross-functional teams across all of Mezmo to develop a strategy around our data platform and to establish best practices for a metrics-focused culture.          Build dashboards   reports and empower the business to answer key questions across Sales  Marketing  Customer Success  Recruiting  Product  and Engineering.          Prioritize between multiple planned analytics projects and ad-hoc data requests for our internal stakeholders.          Define and design data pipelines and data integrations to collect  clean  and store large scale  cross-functional datasets.          Manage the data infrastructure that enables the entire business       ,     Qualifications            BS or MS degree in a quantitative field such as Mathematics  Computer Science  Physics  etc          5+ years experience on data science or data analytics teams  especially on data teams focused on internal operations          Experience with querying and exploring data stored in data warehouses  Snowflake  MongoDB           Experience with operationalizing data with ETL ELT tools like Fivetran or Stitch          Experience with data transformation microservices like dbt  Informatica  Denodo  etc...          Demonstrable fluency with SQL and experience with Python or R          Experience with data visualization tools such as Sisense  Looker  Tableau  or similar tools       
220, Data Analyst,https://www.dataanalyst.com//job/data-analyst-a3,United States,VCU,"Richmond, VA",Hybrid,Education,['0 - 3 '],-60000,"Feb 17, 2023",     The Financial Aid Data Analyst supports the mission of the University by working to ensure that federal  state and institutional financial aid is delivered to students and their parents in a timely  equitable  and coherent manner. These goals are accomplished through researching  resolving  and reporting systematic technical issues that conflict with the division and department goals and Department of Education rules and procedures.    ,     Minimum Hiring Standards            Bachelor s degree in business  information systems  computer science  or related field or an equivalent combination of education and experience.          Experience with Ellucian Banner  SQL  programming coding  and Microsoft desktop applications and operating systems.          Strong skills in process management and report writer language  SAS  TOAD or similar high-level report writer .          Strong organizational skills  ability to follow written and oral procedures with attention to detail.          Initiative and problem-solving skills to identify  research  and solve complex IT programming and financial aid problems.          Excellent written and oral communication  documentation  and presentation skills.          Demonstrated experience working in and fostering a diverse faculty  staff  and student environment or commitment to do so as a staff member at VCU.          Preferred Qualifications            Bachelor s degree in business  information systems  computer science  or related field with an emphasis on computer literacy and or certificate in information systems.          Financial Aid operations and student services experience preferred.          Process management and report writer language using SAS.          Experience in installing and diagnosing PC hardware and software.          Web skills  including HTML and JavaScript tools.          Other Position Details  Position is eligible for a hybrid work schedule consisting of 60  on-campus expectations and 40  telework expectations.    
221, Data Analyst,https://www.dataanalyst.com//job/data-analyst-0b,United Kingdom,Capco,London,Hybrid,Consulting,['3 - 5 '],-65000----110000,"Feb 17, 2023",     As part of our on-going global expansion strategy  Capco is growing its UK Data Practice in our London office. We are currently seeking to recruit several management consultants with data analytics expertise to lead and develop teams to support large scale transformation projects for our leading Financial Services clients.       The applicant should            Have a real passion for data and a commitment to shift the industry towards forward thinking data analytics          Be keen to join the team to develop the UK Data Practice capabilities and the broader Global Data Practice to support industry changing topics such as Predictive Analytics  Machine Learning and Artificial Intelligence          Use business judgment &amp  analytical tools in driving the best results for the business unit. Achieved through a combination of using data  analysis  brainstorming sessions and business judgment in identifying &amp  leading new opportunities          Enhance the existing advance analytics modelling  methodologies and contributing to new idea in methodology and modelling  machine learning algorithms and report visualization          Interview Process           Recruitment Interview          Skills &amp  Content Interview          Case Study          Partner Interview       ,     Skills and Expertise           Ability to parse  manipulate and review large quantities of complex data          Financial services industry background in data analytics          Experience of diagnostic and predictive techniques in areas such as modelling  CLTV  risk scoring  financial crime analytics  risk &amp  compliance analytics and customer marketing analytics e.g. segmentation          Knowledge of databases such as MySQL  SQL Server  PostgreSQL and NoSQL databases          Familiarity with programming languages such as Python  R  or Spark          Expertise in designing user-friendly  insightful  interactive dashboards using Qlik  Tableau or Power BI          Programme Execution and Change management proven ability to shape  design and lead the execution of data changes          Desirable experience as a Management Consultant          Professional experience is important. But it s paramount you share our belief in disruptive innovation that puts clients ahead in a tough market. From Day One  your key skill will be to perceive new and better ways of doing things to give your clients an unfair advantage.    
222," Data Analyst, Finance",https://www.dataanalyst.com//job/data-analyst-finance-c,United Kingdom,LeasePlan, Slough,Hybrid,Financial,['0 - 3 '],-35000,"Feb 17, 2023",     We are now recruiting an additional Finance Data Analyst to support the team to develop and maintain Power BI Dashboards in order for the business to make effective decisions. This role will also support with collecting and analysing data to provide insight and valuable analysis. This role entails a high degree of interaction with the business whilst requiring consistently high quality strategic analysis and data management.       Role Specifics           Co-ordinate with Finance and Commercial teams to provide quarterly commissions reporting on a timely basis          Own the calculations process behind the commissions model          Own month end reporting and dashboard development for some P&amp L areas          Provide self-serve Power BI dashboards to Account Managers and be a key contact for any dashboard related queries          Support Finance Business Partners in tracking the performance of strategic initiatives          Get involved with any other Analytics requirements or projects          Create efficiencies by automating as many reports as possible       ,     Required Knowledge &amp  Experience           Degree level in an Accountancy  Business or Statistics based subject or experience led equivalent          Excellent analytical &amp  PC skills  SAS and Advanced Excel    essential          Fluent in business English language  with excellent written and verbal communication skills   essential          Highly numerate with strong attention to detail   essential          Ability to think and take initiative with the confidence to challenge processes as required within remit.          Experience of Asset Risk management Finance Management in the Asset Finance Leasing sector       
223," Data Analyst, Finance",https://www.dataanalyst.com//job/data-analyst-finance-8,United Kingdom,Jaguar Land Rover, Coventry,Hybrid,Automotive,['0 - 3 '],-33100----41900,"Feb 17, 2023",     Product Marketing Finance supports the commercial product marketing team to deliver price  revenue and profitability analysis for all JLR vehicle lines  working closely with central and in market partners to ensure that prices set are competitive to enable us to reach our volume aspirations but also deliver the necessary financial return for the business.       Previously a manual  Excel based task  we have recently embarked on a journey to            Support the creation of Pricing Papers in order that the financial outcome can be optimised relative to the competition and alongside other related market controllable elements          Assist in approval of Final pricing by vehicle line by market in line with DoA  Delegation of Authority  and ahead of pre-agreed timing milestones          Deliver insights in to global pricing trends in line with business reviews          As the Finance Insights and Data Analyst  you ll be responsible for            Support the global carline pricing activity in the delivery strategic and tactical pricing actions   working in an agile environment to support all carlines during critical time periods.          Support the OXO to Invoice process working with Product Marketing  Coding  GFS and RFM teams to ensure timing objectives are met.          Cross functional working with the wider Product Marketing and Finance community to deliver strategies   initiatives and ensure consistent application of process and sharing of best practice.          Lead support XCL pricing activities   analysing proposals  seeking cross functional alignment  gathering approvals and co-ordinating application of change within the team.          Support strategy development for current cars   including quarterly positioning checks  feature value reviews  segmentation and competitor analysis.          Supporting systems application updates   such as master data.       ,     What You ll Need           Good numerical and analytical skills.          Attention to detail and the ability to balance conceptual work with hands on delivery.          Good communication skills   used to translate financial issues for operational teams.          Flexibility and the capability to prioritize and handle multiple tasks to strict deadlines.          Sound financial and commercial business acumen which can be applied when assessing business decisions.          Experience of working in a cross functional team environment.          Degree or relevant equivalent qualification or experience.          A continuous improvement mind set with the ability to identify and implement solutions and enhancements       
224, Data Analyst,https://www.dataanalyst.com//job/data-analyst-f2a1,United Kingdom,Bud,Bristol,Hybrid,Education,['0 - 3 '],-30000----45000,"Feb 17, 2023",     You will be a key member of Bud  and work within the Product team. Our Product team works together with our Development  Test and Infrastructure teams to form our wider Delivery team. We collaborate together  following agile development practices to continuously ship incremental value to our customers and end users.       Bud is looking for a talented Data Analyst to join our Product team. As a Data Analyst  you will be responsible for leveraging  analysing  and driving actionable insights to the business and our customers. This role will report to the Lead Product Owner and will work within a well-established  talented Business Intelligence team on a day-to-day basis. The business intelligence team consists of 2 SQL BI developers and testers. The role will include product owner responsibilities for the Business Intelligence team such as managing the product backlog and generating work for the team.       MAIN ACCOUNTABILITIES           Interpret data and analyse results using statistical techniques          Present data in various forms for technical and non-technical stakeholders          Manage  cleanse and aggregate data from various sources          Develop data models and architecture that meet ongoing requirements for data collection whilst optimising statistical efficiency and quality          Acquire data from primary or secondary data sources          Identify  analyse  and interpret trends or patterns in complex data sets          Work with management and scrum teams to prioritise business and information needs          Manage the backlog of work for the Business Intelligence team       ,     Essential           Proven working experience as a Data Analyst          Technical expertise regarding data models  database design development  data mining and segmentation techniques          Excellent Excel  SQL and data visualisation skills          Proven working experience with Microsoft PowerBI          Ability to design and communicate effective briefs to stakeholders          Desirable           Experience of owning a BI product          Previous experience as a Product Owner          Knowledge of other programming languages such as DAX  Python or R.          Machine learning experience          An understanding of BI testing          Experience of working within a Training Provider or funded learning environment          Understanding of training providers  reporting needs and challenges          Scrum or Kanban experience e.g. Azure DevOps          KEY ATTRIBUTES           High levels of drive and determination  that strive to exceed expectations          Works with a sense of urgency and enjoys being in a fast-paced environment          Logical and analytical approach          Ability to work independently and collaboratively          Ability to identify issues quickly  investigate and solve complex problems and apply appropriate solutions          Resilient in the face of challenges          Adaptable to changing contexts       
225, Data Analyst,https://www.dataanalyst.com//job/data-analyst-09d,United States,SLCC,"Salt Lake City, UT",Hybrid,Education,['0 - 3 '],-52280----57240,"Feb 17, 2023",     Salt Lake Community College  SLCC  is looking for an analytical thinker with excellent data visualization and SQL skills to join our Data Science &amp  Analytics team. Our college has made a commitment to becoming a data-informed institution  supporting our strategic goals  initiatives  and efforts around student success and institutional sustainability. A major portion of this initiative is fueled by the development and continued growth of data products  dashboard  reports  etc.  for our college community  faculty  staff  administration  and students .       The Data Analyst 1 will work on our Data Science &amp  Analytics team  a group of highly collaborative and innovative data lovers to democratize data across the college. This position will be involved in the design  development  and maintenance of strategic dashboards  reports  and data products. The data analyst will focus on providing effective visualizations to drive actionable insights for our college community.       Our team is fueled by learning  growth  and innovation. We strive to be a leader in community colleges and higher education in the use of data through analytics and data science. We value out-of-the-box thinking that continues to explore new ways that we can improve our community by providing data and insights. We pride ourselves on being the data experts and storytellers across the college.       SLCC is an emerging Hispanic Serving Institution and a premier community college in the western United States. The College is increasing its investment in data and analytics and seeks a skilled manager to manage the front-line effort. SLCC offers a strong total compensation package for this position. In addition to the base salary  we offer excellent benefits to all full-time employees.       The Data Analyst position extracts  validates  and organizes data into appropriately structured tables or cubes for use in quantitative research  routine state  federal or internal reporting  and ad hoc reporting. The position will take charge of the routine reporting for the office and provide preliminary descriptive summaries of the data.    ,     Qualifications           Bachelor s degree in quantitative or technical field.          One  1  to three  3  years of direct  paid  full-time work experience working with data  data visualization  and or SQL.       
226," Data Analyst, Ecology",https://www.dataanalyst.com//job/data-analyst-ecology,United Kingdom,NatureMetrics, Guildford,Hybrid,Research,['3 - 5 '],-40000----50000,"Feb 17, 2023",     We are looking for a highly motivated Ecological Data Analyst to analyse ecological community datasets generated through in-house metabarcoding analyses. You will have the support of our custom software to generate metrics and conduct community analyses  developed by our data and insights teams. You will use these tools to generate insight to support the development of robust case studies  support delivery of grant projects and provide feedback for the development of new products.       Ecological Data Analyst   The Role           Carry out statistical analysis &amp  exploration of ecological community datasets generated by metabarcoding for case studies  grants and scientific product validation.          Work on data from all environments  sample types &amp  taxonomic groups with a focus on soil datasets.            Collaborate with internal team members &amp  external partners to deliver against requirement of grant projects.          Report the results of internal experiments.          Give technical advice to clients.          Contribute to the data analysis component of large projects.          Collaborate with colleagues &amp  translate insights into metrics that can be integrated into our customer-facing dashboards &amp  marketing resources.       ,     Ecological Data Analyst   About You           PhD or equivalent experience in an ecological field          Strong ecological statistics background with experience of exploring &amp  analysing large ecological community datasets.          Proficiency at coding in R for manipulation  exploration &amp  analysis of ecological data.          Experience working in multi-disciplinary teams &amp  in a fast-paced environment.          Excellent communication  presentation &amp  interpersonal skills.          Used to working effectively in a matrixed environment.       
227, Data Analyst,https://www.dataanalyst.com//job/data-analyst-6e,United States,Mindful Care,Remote,Remote,Healthcare,['3 - 5 '],-65000----75000,"Feb 17, 2023",     We are looking to add a Business &amp  Marketing Analyst to Mindful Care. This is a highly visible role where you will bring your analytical skills and expertise to the marketing team to help them build meaningful dashboards and provide valuable information for strategic decision making.       The primary objectives of the role are listed below            Extract and cross-reference data from our various sources such DrChrono  Active Campaign  Cleargage so we gain insight into metrics such as # of patients who seek  and receive  same day next day care.          Create reports that pull from DrChrono that track metrics such as discharge status  diagnosis  use of certain cpt codes  IT product in the past has done some work on this  but there have been concerns about the veracity of the data based on the way it was pulled from the EHR .          Engages in data exploration using various programming languages  reading and writing code   requiring advanced knowledge of multiple database structures.          Collect  analyze  and interpret data to glean insights  and develop appropriate business recommendations.          Research and analyze data flow across complex data ecosystem including operational and analytical data platforms.          Serve as an expert resource supporting data questions and issues from stakeholders and driving to resolution.          Lead in the design  development  validation  and delivery of data to provide insight into business decisions.          Manage the collection of business and technical requirements from Stakeholders to deliver data driven solutions. Produces technical documentation that is consistent with professional standards.       ,     Candidate Profile           2-4 years of experience in this type of a role  ideally working in a start-up environment.          Understanding of SQL programming and Excel          Business intelligence tools - Tableau  Power BI          Analytical skills - look at large data sets and provide trend set patterns          Experience in Healthcare Industry is preferred          Quantitative  analytical  and problem-solving skills.          Knowledge and understanding of analytical tools  languages  applications and platforms.          Excellent communication skills both written and verbal.          Ability to learn quickly and take direction.          Must be able to effectively work in an ambiguous environment with frequently changing priorities  deadlines  and workloads.          Able to meet established deadlines and handle multiple customer service demands from internal and external customers  within set expectations for service excellence.       
228," Data Analyst, Credit",https://www.dataanalyst.com//job/data-analyst-credit,United States,Rho,"Phoenix, AZ",Hybrid,Financial,['0 - 3 '],-50000----60000,"Feb 17, 2023",     We re looking for a detail-oriented credit analyst to join our growing credit team to assist in reviewing and underwriting SME s and middle-market companies. You will also work with members of our sales  risk operations  product management  client service  and other teams to provide a frictionless experience for our clients while ensuring compliance with internal policies. There is potential for growth into a more senior underwriting role over time.       Responsibilities           Assist with all aspects related to the credit department including collection of required documents  data entry  financial analysis  and post-closing monitoring          Organize provided financial data into our proprietary model and assist with performing credit analyses  utilizing Excel and other software tools          Leverage internal and external tools and databases to complete company due diligence across business attributes such as products  customers  management team  and capital formation          Update accounting and bank data across all portfolio companies each month          Provide solutions to streamline client data collection and organization          Maintain up to date client files by ensuring connectivity to third-party accounting and bank data platforms  and collecting and tracking financials and other information on a regular basis          Effectively communicate with internal and external parties verbally and in writing          Provide operational support on initiatives related to underwriting and risk monitoring          Assist other credit team members on all aspects of underwriting  risk monitoring  portfolio management  and ad hoc projects as needed       ,     Qualifications           Bachelor s Degree in economics  computer science  mathematics  engineering  or related fields          Familiarity with three-statement financial modeling          High to detail  capable of performing work with ownership mentality          Comfortable working independently and efficiency          Strong intellectual and personal integrity          Capable of multi-tasking across competing assignments with changing priorities and deadlines          Programming experience with SQL  Python or a plus       
229, Data Analyst,https://www.dataanalyst.com//job/data-analyst-13,United States,Saic," Chantilly, VA",In-office,Tech,['5 - 10 '],-150000----170000,"Feb 17, 2023",     SAIC is seeking Senior Data Analysts to join a proactive and impactful team that gathers and analyzes data to provide business analytics insights to help the Customer understand and make important resource decisions to enhance mission effectiveness. The Senior Data Analysts should have experience with the broader customer organization. Knowledge of field and technical operations related to the specific customer group is a plus.       Key responsibilities for the Senior Data Analysts include  but are not limited to            Providing analytical judgment and trend analysis based on research and comparisons with past products.          Obtaining data  structured and unstructured  from multiple sources  synthesize it  and present the results effectively and concisely in written and graphic form.          Interacting with customers to coordinate requirements and resolve data questions.          Researching  analyzing information  and working on several tasks simultaneously with minimal supervision       ,     Required Qualifications            Current TS SCI clearance with full-scope polygraph.          Bachelor s Degree in a related field  or 4 years of relevant experience may substitute in lieu of degree  and 10+ years of related experience.          Expertise in two or more of the following disciplines  business analytics  performance metrics  statistics  data verification and validation  data visualization  or intelligence analysis.          Ability to apply qualitative and quantitative data analysis methods to situational analysis and business analytics problems.          Skilled in creating and delivering briefings and written products to both technical and non-technical audiences.          Ability to create examples  prototypes  and demonstrations.          Demonstrated experience interpreting data models and working with a variety of data structures.          Demonstrated experience translating customer requirements into project or system specifications.          Strong interpersonal and communication skills.          Self-starter with the ability to decompose ambiguous problems into actionable plans.          Desired Qualifications            Five years of relevant experience in the customer organization and familiarity with issues involving field operations  intelligence tasking  collection  processing  analysis  and dissemination.          Demonstrated experience using Excel and SQL.          Expertise in Tableau  Power BI  or similar interactive visualization software.          Expertise in Python or R.          Experience using GitHub or similar version control systems.       
230,Senior Data Analyst,https://www.dataanalyst.com//job/senior-data-analyst-61,United States,John Hancock,"Boston, MA",In-office,Financial,['5 - 10 '],-84000----151200,"Feb 16, 2023",     The Senior Risk Data Analyst will report directly to the Liquidity Risk Oversight Director. The position is responsible for supporting both the Liquidity Risk Management Program   LRMP   and the Derivatives Risk Management Program   DRMP  . This includes monitoring and maintenance of the liquidity and derivatives management assumptions  daily results  and continuous improvement of data quality. The position is also responsible for conducting data analysis  the development and design of business intelligence reporting solutions focused on evaluating and identifying risk issues for the LRMP and DRMP as well as our internal business partners.       Responsibilities           On a daily basis monitor and review both the liquidity derivatives risk reports and metrics and when applicable  identify  research  and resolve or escalate any exceedances or outliers.          Spearhead the design and develop LRMP DRMP business intelligence reporting solutions  reports  dashboards  alerts  and notifications  as well as their accompanying technology requirements.          As part of the Liquidity and Derivatives Program Oversight team  work with internal business partners to identify and investigate daily monthly data reconciliation exceptions to determine root cause and to develop an appropriate course of action to resolve or escalate  when necessary  in a timely manner.          Lead the continuous improvement effort for LRMP DRMP data quality and automated internal reporting through detailed review and analysis of trends and findings.          Assist in coordinating any internal audit and regulatory exams  lead issue self-identification efforts and promote a culture of risk excellence.          The person hired will be expected to work seamlessly both within the Liquidity and Derivatives Program Oversight department as well as part of a cross-departmental group responsible for these programs including IT  Global Product Investment Risk  Manager Oversight  Data Management  and the Chief Compliance Office as well as our external Sub Advisors to identify and resolve data issues on a daily  monthly  quarterly  and annual basis.       ,     Job Requirements           Bachelor s degree required plus 5+ years of relevant experience          CFA designation or work toward attaining CFA is preferred          Competencies           Excellent technical  analytical &amp  problem-solving skills required to identify issues in large data sets and determine solutions to resolve in a timely manner          Requires a deep understanding of the financial instruments employed in JHI s investment products and the liquidity and derivatives risks inherent in them.          Experience with SQL queries  Microsoft Access  and developing interactive dashboards and reports using visualization tools such as Power BI and Tableau required          Comprehensive knowledge of Mutual Funds  Investments  systems architectures  and data analysis required          Ability to work independently and set priorities with only high-level direction          Ability to prioritize own workload          Strong analytical  organizational  verbal  and written communication skills  as well as the ability to work both independently and as part of a team.          Decision Authorities           Manage daily tasks and deadlines          Provide feedback and collaborate on ideas across all interactions to make the liquidity classifications and reporting processes more efficient          Represent LRMP and DRMP  as required  in IT SCRUMs to ensure development is in-line with agreed upon business specifications and timelines       
231,Senior Data Analyst,https://www.dataanalyst.com//job/senior-data-analyst-63c,United States,Checkr,"San Diego, CA",Hybrid,Tech,['5 - 10 '],-86466----179975,"Feb 16, 2023",     Responsibilities            Partnering with customer success managers and working directly with clients to synthesize clients  feedback from business requirements to technical data requirements to yield data analysis and insights          You will help bridge the gap between understanding business needs and determining technical solutions to external-facing customers and the customer success managers          Work with clients directly to understand how they measure the value of Checkr products and work with product analysts and product managers to build data artifacts to monitor value realization  preferably in a scalable way.          Help clients receive value quickly by managing data and analytic requests          Generate and share educational resources  training  and best practices related to data          Publish certified data models by developing new or consolidating and optimizing existing data sources that enable self-service to provide insights into product performance          Rapidly deliver on concepts through prototypes that can be presented for feedback          Document data requirements and processes to bring transparency and ensure data integrity with privacy by design       ,     What you bring            5+ Yrs of Strong customer focus  you care about your customers and view their success as your own          A consultative approach to problem-solving through the translation of business use cases and questions to analytics and insights while working with CSMs to manage customer expectations          Excellent written and verbal communication skills - able to simplify complex topics in a friendly and approachable manner          You are flexible and can juggle and complete multiple priorities and projects  internally and externally  in a fast-paced environment.          You learn quickly and are excited to take on challenging new projects          You enjoy planning  executing  iterating  winning  and celebrating our individual and collective success          5 + Yrs of Strong analytical and technical skillsets to translate data to actionable insights          Strong background in dimensional modeling and data warehousing concepts.          Experience in managing databases  including relational database architecture  query optimization  and database schema design.          Conceive  implement and maintain data models or views that simplify reporting  expand access to insights  and support ongoing analysis and reporting          Expertise with data modeling via SQL transformation with best practices to ensure top performance and optimization          Experience with DBT  Snowflake  Looker  Airflow          Experience working with APIs or unstructured data a plus          Technologies            SQL          Snowflake          Airflow          dbt          Looker          Python R       
