fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,bioguide_id,ballotpedia_id,govtrack_id,twitter_name,score_norm_abs,partisan_score_twitter,partisan_score_nominate,partisan_score_govtrack,compete_ideology,compete_cookpvi,compete_eff_gap
H2FL10218,"ACHENBACH, JACK JOSEPH",FL,10,DEMOCRATIC PARTY,House,Open seat,C,NA,Jack_Achenbach,NA,jackachenbach,NA,NA,NA,NA,0.10470641193980135,14,0.2843863751250869
H2UT02431,"ACHESON, PHELAN DOUGLAS",UT,02,INDEPENDENT,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.38261855932036903,11,0.07090063098586784
H2NC05165,"ACKERMAN, MICHAEL STEPHAN",NC,05,REPUBLICAN PARTY,House,Challenger,C,NA,Michael_Ackerman_(North_Carolina),NA,ackermanfornc,NA,NA,NA,NA,0.3901695033529826,13,0.14145016968925112
H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,A000370,Alma_Adams,412607,almaforcongress,0.9240988689328898,0.7709551656920078,0.468,0.6924189630182178,0.041486557744199515,13,0.1297688605697332
H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,A000370,Alma_Adams,412607,repadams,0.9240988689328898,0.7709551656920078,0.468,0.6924189630182178,0.041486557744199515,13,0.1297688605697332
H2NV01322,"ADAMS, JANE",NV,01,REPUBLICAN PARTY,House,Challenger,N,NA,Jane_Adams,NA,ilovejaneadams,NA,NA,NA,NA,0.07214855792543051,3,0.05109228600827812
H2TN03235,"ADAMS, MATT",TN,03,DEMOCRATIC PARTY,House,Challenger,P,NA,NA,NA,NA,NA,NA,NA,NA,0.5286848506294755,19,0.04854344200189265
H2SC06126,"ADDISON, MICHAEL ANTONIO DR.",SC,06,DEMOCRATIC PARTY,House,Challenger,N,NA,Michael_Addison,NA,NA,NA,NA,NA,NA,0.11284551006835364,14,0.04398561073529707
H2TX09131,"ADDISON, RANDALL LEE MR.",TX,09,INDEPENDENT,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.1084092793056024,26,0.07860091259019397
H2FL21132,"ADEIMY, DEBORAH",FL,22,REPUBLICAN PARTY,House,Challenger,N,NA,Deborah_Adeimy,NA,debadeimy,NA,NA,NA,NA,0.04671387715120967,7,0.15424694325033894
H2CT81017,"ADELPHI, ADRIAN",CT,81,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H6AL04098,"ADERHOLT, ROBERT B. REP.",AL,04,REPUBLICAN PARTY,House,Incumbent,N,A000055,Robert_Aderholt,400004,robert_aderholt,0.9321561811408164,0.827485380116959,0.384,0.23052041868260795,0.8297826870323572,33,0.11452805766238758
H0KS03236,"ADKINS, AMANDA",KS,03,REPUBLICAN PARTY,House,Challenger,P,NA,Amanda_Adkins,NA,amanda_adkins,0.9086125798259284,0.6549707602339181,NA,NA,0.05427649925784617,1,0.1281286812811723
H2VA07212,"ADKINS, GARY GENE",VA,07,REPUBLICAN PARTY,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.18910154950356017,1,0.11435503725394368
H2NV02536,"AFZAL, JOSEPH EDWARD",NV,02,DEMOCRATIC PARTY,House,Challenger,N,NA,Joseph_Afzal,NA,joeyafzal,NA,NA,NA,NA,0.3189981306947032,8,0.09312292581759754
H2OH05054,"AGAN, JEFFREY JOHN MR. JR",OH,05,DEMOCRATIC PARTY,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.5041853126800342,15,0.06702805735559958
H2NY11165,"AGODA-KOUSSEMA, KOMI L.T. DR.",NY,11,DEMOCRATIC PARTY,House,Challenger,P,NA,Komi_Agoda-Koussema,NA,agoda4sibk,NA,NA,NA,NA,0.16435083327276223,6,0.060127655594763456
H2AK00374,"AGUAYO, DENNIS W. ""DENNY""",AK,00,NONPARTISAN,House,Open seat,N,NA,Dennis_Aguayo,NA,NA,NA,NA,NA,NA,0.49543194293402926,8,0.0963368019870488
H0FL04140,"AGUILAR, ERICK JAVIER",FL,04,REPUBLICAN PARTY,House,Challenger,P,NA,Erick_Aguilar,NA,erickaguilarjax,NA,NA,NA,NA,0.397807669980234,6,0.06064659817269164
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,A000371,Pete_Aguilar,412615,reppeteaguilar,0.9293446810108404,0.8099415204678363,0.3,0.6119724257727186,0.09106074284245991,12,0.07748390021480676
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,A000371,Pete_Aguilar,412615,peteaguilar,0.9293446810108404,0.8099415204678363,0.3,0.6119724257727186,0.09106074284245991,12,0.07748390021480676
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,A000371,Pete_Aguilar,412615,aguilarpete,0.9293446810108404,0.8099415204678363,0.3,0.6119724257727186,0.09106074284245991,12,0.07748390021480676
H2IL03188,"AGUIRRE, JUAN ENRIQUE",IL,03,DEMOCRATIC PARTY,House,Challenger,P,NA,Juan_Aguirre_(Illinois),NA,NA,NA,NA,NA,NA,0.43047666039198484,20,0.11870659903767043
H2IL08146,"AHMED, JUNAID",IL,08,DEMOCRATIC PARTY,House,Challenger,P,NA,Junaid_Ahmed,NA,junaidforus,0.895106305202397,0.5058479532163743,NA,NA,0.13934659080986722,6,0.15364388131910825
H2NC02279,"AHRENS, RICHARD JAMES JR.",NC,02,REPUBLICAN PARTY,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.1231369875900652,12,0.13688487668361637
H4NC02127,"AIKEN, CLAYTON CLAY",NC,04,DEMOCRATIC PARTY,House,Open seat,P,NA,Clay_Aiken,NA,clayaiken,0.04820617875027167,0.00779727095516569,NA,NA,0.1310648355525008,16,0.03157064437187653
H2NC01255,"AIKEN, WILLIAM",NC,01,REPUBLICAN PARTY,House,Open seat,P,NA,Will_Aiken,NA,NA,NA,NA,NA,NA,0.3268098698850086,2,0.06372594659928543
H0HI02213,"AKANA, JOSEPH",HI,02,REPUBLICAN PARTY,House,Challenger,P,NA,Joseph_Akana,NA,joe_akana,0.2746669765552223,0.06920077972709551,NA,NA,0.24162609941029378,14,0.0213777121657077
H2NY05118,"AKHLAGHY, NADER",NY,05,PEACE AND FREEDOM PARTY,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.4892939783471074,30,0.09881368277577156
H2OR04152,"AL-ABDRABBUH, SAMI",OR,04,DEMOCRATIC PARTY,House,Open seat,P,NA,Sami_Al-Abdrabbuh,NA,samioregon,0.925005337450237,0.7787524366471735,NA,NA,0.16453578548607128,4,0.0765399672368729
H2FL11166,"ALCANTARA, CHRISTOPHER MANUEL",FL,11,NO PARTY AFFILIATION,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.26426404649696345,8,0.07823800076996165
H6NH02089,"ALCIERE, TOM",NH,01,REPUBLICAN PARTY,House,Challenger,N,NA,Tom_Alciere,NA,tomalciere,0.2976305208143317,0.0769980506822612,NA,NA,0.010310916096510914,0,0.10938805171201105
H2AL01200,"ALCORN, PETER DAVID",AL,01,REPUBLICAN PARTY,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.525693026870123,16,0.13313546415423677
H2HI01112,"ALCUBILLA, SERGIO JOSEPHUS MR. III",HI,01,DEMOCRATIC PARTY,House,Challenger,P,NA,Sergio_Alcubilla,NA,sergio4hawaii,0.9181936467640972,0.7192982456140351,NA,NA,0.29226737713123674,14,0.04996190397519908
H2OH07258,"ALEXANDER, ANTHONY LEON",OH,07,REPUBLICAN PARTY,House,Open seat,N,NA,Anthony_Leon_Alexander,NA,anthony4congres,NA,NA,NA,NA,0.25164089322448446,7,0.1874559401043983
H2WI02199,"ALEXANDER, DOUGLAS",WI,02,INDEPENDENT,House,Challenger,N,NA,Douglas_Alexander_(Wisconsin),NA,douglaswi1957,NA,NA,NA,NA,0.2949146026621351,19,0.07851406984902634
H2OH11300,"ALEXANDER, MARTIN",OH,06,DEMOCRATIC PARTY,House,Challenger,N,NA,Martin_Alexander,NA,NA,NA,NA,NA,NA,0.5004649105446504,16,0.08504883396390311
H2MO07127,"ALEXANDER, SAM DR",MO,07,REPUBLICAN PARTY,House,Open seat,C,NA,Sam_Alexander_(Missouri),NA,NA,NA,NA,NA,NA,0.5632667737809012,24,0.028577438885298206
H2NJ02193,"ALEXANDER, TIMOTHY C",NJ,02,DEMOCRATIC PARTY,House,Challenger,P,NA,Tim_Alexander,NA,talexander_nj02,0.9332189561099972,0.8323586744639376,NA,NA,0.12948645016261273,5,0.0637126258628606
H2MI04260,"ALFONSO, JOSEPH",MI,04,DEMOCRATIC PARTY,House,Challenger,N,NA,Joseph_Alfonso,NA,alfonsoformi4,0.9221682340751456,0.7573099415204678,NA,NA,0.14732764136103382,5,0.0647400727431592
H2MO04207,"ALFORD, MARK",MO,04,REPUBLICAN PARTY,House,Incumbent,C,A000379,Mark_Alford,456909,markalfordkc,0.9198899126182776,0.7378167641325536,0.561,0.2149141892660936,0.6497783055559612,23,0.04338380792262394
H2MO04207,"ALFORD, MARK",MO,04,REPUBLICAN PARTY,House,Incumbent,C,A000379,Mark_Alford,456909,repmarkalford,0.9198899126182776,0.7378167641325536,0.561,0.2149141892660936,0.6497783055559612,23,0.04338380792262394
H2NC06098,"ALLAM, NIDA",NC,04,DEMOCRATIC PARTY,House,Challenger,P,NA,Nida_Allam,NA,nidaallam,0.964795892696912,0.9746588693957114,NA,NA,0.1310648355525008,16,0.03157064437187653
H2CO08103,"ALLCORN, TYLER",CO,08,REPUBLICAN PARTY,House,Open seat,C,NA,Tyler_Allcorn,NA,allcorn4co,NA,NA,NA,NA,0.05036764408334293,0,NA
H2IN07195,"ALLEN, BILL",IN,07,REPUBLICAN PARTY,House,Challenger,C,NA,Bill_Allen_(Indiana),NA,NA,NA,NA,NA,NA,0.12879624982605575,19,0.11153370702684012
H4CA24175,"ALLEN, BRAD DR",CA,24,REPUBLICAN PARTY,House,Challenger,N,NA,Brad_Allen_(California),NA,NA,NA,NA,NA,NA,0.19228111237807488,13,0.19467467974374206
H2CA24229,"ALLEN, BRAD DR.",CA,24,REPUBLICAN PARTY,House,Challenger,P,NA,Brad_Allen_(California),NA,NA,NA,NA,NA,NA,0.19228111237807488,13,0.19467467974374206
H2PA10108,"ALLEN, BRIAN",PA,10,REPUBLICAN PARTY,House,Challenger,P,NA,NA,NA,NA,NA,NA,NA,NA,0.18803531689452657,5,0.12737500541354238
H2IL17105,"ALLEN, COREY",IL,17,REPUBLICAN PARTY,House,Open seat,N,NA,NA,NA,NA,NA,NA,NA,NA,0.15694690323093408,2,0.13360241123508315
H2SC07256,"ALLEN, GRAHAM",SC,07,REPUBLICAN PARTY,House,Challenger,C,NA,NA,NA,NA,NA,NA,NA,NA,0.5142589980317269,11,0.08601404424996567
H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,A000372,Rick_Allen,412625,rickallen,0.9171543349263384,0.7105263157894737,0.695,0.5632532848275715,0.4177985543553955,8,0.16382580784043316
H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,A000372,Rick_Allen,412625,reprickallen,0.9171543349263384,0.7105263157894737,0.695,0.5632532848275715,0.4177985543553955,8,0.16382580784043316
H2SC01093,"ALLEN, THOMAS JASON",SC,01,REPUBLICAN PARTY,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.28993389337207987,7,0.12429986096146312
H2TN06154,"ALLEY, JOSH",TN,06,INDEPENDENT,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.5795679047979896,17,0.016908642940542336
H2MD04364,"ALLISON, TAMMY",MD,04,DEMOCRATIC PARTY,House,Open seat,N,NA,Tammy_Allison_(Texas),NA,NA,NA,NA,NA,NA,0.44202060951088973,40,0.01848723447285227
H8TX32098,"ALLRED, COLIN",TX,32,DEMOCRATIC PARTY,House,Incumbent,C,A000376,Colin_Allred,412828,repcolinallred,0.912022099431782,0.6783625730994152,0.451,0.42578679153696,0.12783127849311404,14,0.10156045910309923
H8TX32098,"ALLRED, COLIN",TX,32,DEMOCRATIC PARTY,House,Incumbent,C,A000376,Colin_Allred,412828,colinallredtx,0.912022099431782,0.6783625730994152,0.451,0.42578679153696,0.12783127849311404,14,0.10156045910309923
H0GA03074,"ALMONORD, VALBRUN DR.",GA,03,DEMOCRATIC PARTY,House,Challenger,P,NA,Val_Almonord,NA,valforcongress3,0.9043535251775322,0.621832358674464,NA,NA,0.5727394768131595,18,0.2521634839104303
H2FL23120,"ALMONTE, MELINDA",FL,24,REPUBLICAN PARTY,House,Challenger,C,NA,NA,NA,NA,NA,NA,NA,NA,0.2614603227827369,25,NA
H2OR06108,"ALONSO LEON, TERESA",OR,06,DEMOCRATIC PARTY,House,Open seat,P,NA,Teresa_Alonso_Leon,NA,teresa4oregon,0.879312450278801,0.3840155945419103,NA,NA,0.11779641131077168,4,NA
H2OR06108,"ALONSO LEON, TERESA",OR,06,DEMOCRATIC PARTY,House,Open seat,P,NA,Teresa_Alonso_Leon,NA,alonsonhli_leon,0.879312450278801,0.3840155945419103,NA,NA,0.11779641131077168,4,NA
H8IN09131,"ALSPACH, JAMES DEAN",IN,06,REPUBLICAN PARTY,House,Challenger,N,NA,James_Dean_Alspach,NA,NA,NA,NA,NA,NA,0.4355845236978708,19,0.046963365162023464
H2VA02072,"ALTMAN, LARRY THOMAS III",VA,02,REPUBLICAN PARTY,House,Challenger,C,NA,Tommy_Altman,NA,tommyaltman,0.9425162116862232,0.9015594541910332,NA,NA,0.23813782254383975,2,0.12191202053290855
H2TX15146,"ALVARADO, ELIZA DR.",TX,15,DEMOCRATIC PARTY,House,Challenger,C,NA,Eliza_Alvarado,NA,NA,NA,NA,NA,NA,0.08010970310980947,1,0.10947256073422221
H2TX22134,"ALVAREZ, ANDREW RUBEN",TX,09,REPUBLICAN PARTY,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.1084092793056024,26,0.07860091259019397
H2GA10174,"ALVEY, ANDREW",GA,10,REPUBLICAN PARTY,House,Open seat,N,NA,NA,NA,NA,NA,NA,NA,NA,0.41468658469405906,15,0.1995866504650406
H4AS00036,"AMATA, AUMUA",AS,00,REPUBLICAN PARTY,House,Incumbent,C,R000600,NA,412664,repamata,0.5629724832899337,0.14912280701754385,0.403,0.09743063516416496,NA,NA,NA
H2CA23148,"AMATO, BRUNO",CA,23,DEMOCRATIC PARTY,House,Challenger,C,NA,NA,NA,NA,NA,NA,NA,NA,0.21082018998879182,8,0.08347830990030232
H2AK00556,"AMBROSE, DAVID",AK,00,WRITE-IN,House,Challenger,N,NA,David_Ambrose,NA,NA,NA,NA,NA,NA,0.49543194293402926,8,0.0963368019870488
H2MI11265,"AMBROSE, MARK",MI,11,REPUBLICAN PARTY,House,Challenger,P,NA,Mark_Ambrose,NA,votemarkambrose,NA,NA,NA,NA,0.1497712590436866,7,0.09383540631487969
H2MD02368,"AMBROSE, NICOLEE",MD,02,REPUBLICAN PARTY,House,Challenger,P,NA,Nicolee_Ambrose,NA,nicoleeambrose,0.957480413470144,0.9668615984405458,NA,NA,0.09950198293817192,7,0.04442519346257536
H0ME01127,"AMEDE, AARON",ME,01,DEMOCRATIC PARTY,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.11725664164734417,9,0.06923784256932108
H2OH03208,"AMICUCCI, ALEXANDER Q.",OH,03,WRITE-IN,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.289787637814239,20,0.036653635547730344
H2NV02395,"AMODEI, MARK EUGENE",NV,02,REPUBLICAN PARTY,House,Incumbent,C,A000369,Mark_Amodei,412500,markamodeinv2,0.6026887479103034,0.1608187134502924,0.384,0.04384027061818885,0.3189981306947032,8,0.09312292581759754
H2NV02395,"AMODEI, MARK EUGENE",NV,02,REPUBLICAN PARTY,House,Incumbent,C,A000369,Mark_Amodei,412500,amodeifornevada,0.6026887479103034,0.1608187134502924,0.384,0.04384027061818885,0.3189981306947032,8,0.09312292581759754
H0VA11127,"ANANTATMULA, MANGA",VA,11,REPUBLICAN PARTY,House,Challenger,C,NA,Manga_Anantatmula,NA,manga4congress,0.5621477333861356,0.14814814814814814,NA,NA,0.2978922670377314,18,0.06581687591503352
H2MO02169,"ANDERS, BOB",MO,02,INDEPENDENT,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.26177632876335943,7,0.08063303527745766
H2CO07196,"ANDERSEN, CARL E",CO,07,REPUBLICAN PARTY,House,Open seat,C,NA,NA,NA,NA,NA,NA,NA,NA,0.036794385882237046,4,0.11246423599391316
H2AZ06312,"ANDERSON, BYRON AVERY",AZ,06,DEMOCRATIC PARTY,House,Challenger,N,NA,Avery_Anderson_(Arizona),NA,NA,NA,NA,NA,NA,0.17436663167542577,3,0.14009104195136646
H2WA09206,"ANDERSON, DAVID",WA,09,INDEPENDENT,House,Challenger,N,NA,David_Michael_Anderson_(Washington_congressional_candidate),NA,NA,NA,NA,NA,NA,0.5506606004837084,21,0.07038142504856357
H2WA09172,"ANDERSON, DAVID",WA,09,INDEPENDENT,House,Challenger,N,NA,David_Michael_Anderson_(Washington_congressional_candidate),NA,NA,NA,NA,NA,NA,0.5506606004837084,21,0.07038142504856357
H2TX35102,"ANDERSON, DAVID LEE JR",TX,21,DEMOCRATIC PARTY,House,Challenger,P,NA,David_Anderson_(Texas_congressional_candidate),NA,dlandersonjrtx,0.20535453913490984,0.04970760233918128,NA,NA,0.3206060358765124,13,0.09909487861201155
H2VA07170,"ANDERSON, DERRICK",VA,07,REPUBLICAN PARTY,House,Challenger,P,NA,Derrick_Anderson,NA,derrickforva,0.889445760662015,0.43567251461988304,NA,NA,0.18910154950356017,1,0.11435503725394368
H2FL20316,"ANDERSON, DWIGHT A MR",FL,20,DEMOCRATIC PARTY,House,Open seat,N,NA,NA,NA,NA,NA,NA,NA,NA,0.1999210998559663,25,0.10637059183071017
H2VA01108,"ANDERSON, JESSICA",VA,01,DEMOCRATIC PARTY,House,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,0.1773168494703623,6,0.09029103645068197
H0OH07104,"ANDERSON, JOHN DAVID",OH,06,REPUBLICAN PARTY,House,Challenger,N,NA,John_Anderson_(Ohio),NA,NA,NA,NA,NA,NA,0.5004649105446504,16,0.08504883396390311
H2AL02158,"ANDERSON, TERRELL",AL,02,DEMOCRATIC PARTY,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.5862915907924788,17,0.0841223666286226
H2NJ11228,"ANDERSON, TOBY",NJ,11,REPUBLICAN PARTY,House,Challenger,P,NA,Toby_Anderson_(New_Jersey),NA,tobyandersonnj,0.8552719503840001,0.32748538011695905,NA,NA,0.20884966590477194,6,0.1221423969254746
H2MN01314,"ANDERSON, WARREN LEE",MN,01,DEMOCRATIC-FARMER-LABOR,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.29335619695034953,7,0.08726562818970315
H2SC01127,"ANDREWS, ANNIE DR.",SC,01,DEMOCRATIC PARTY,House,Challenger,P,NA,Annie_Andrews,NA,annieandrewsmd,0.927216163288717,0.797270955165692,NA,NA,0.28993389337207987,7,0.12429986096146312
H2KY05193,"ANDREWS, JEANETTE",KY,05,REPUBLICAN PARTY,House,Challenger,N,NA,Jeannette_Andrews,NA,jandrews1stgen,0.8620238832097415,0.34210526315789475,NA,NA,0.7011841317206993,32,0.13597522726980088
H2CA09162,"ANDREWS, MARK T",CA,09,NO PARTY PREFERENCE,House,Open seat,N,NA,Mark_Andrews_(California),NA,NA,NA,NA,NA,NA,0.00990104332345354,5,0.19128227159911082
H2OK02307,"ANDREWS, NAOMI",OK,02,DEMOCRATIC PARTY,House,Open seat,P,NA,Naomi_Andrews_(Oklahoma),NA,naomiforok,0.9217274402603196,0.7543859649122807,NA,NA,0.699585452647437,29,0.035012250606731694
H2NC09217,"ANDRIANI, MICHAEL",NC,09,REPUBLICAN PARTY,House,Challenger,N,NA,Mike_Andriani,NA,voteandriani,NA,NA,NA,NA,0.33752539143538574,6,0.16408570763520014
H2NC13227,"ANERALLA, JOHN",NC,13,REPUBLICAN PARTY,House,Open seat,P,NA,NA,NA,NA,NA,NA,NA,NA,0.18119799839647843,2,0.14522181327172506
H2MD04349,"ANGEL, ANGELA",MD,04,DEMOCRATIC PARTY,House,Open seat,P,NA,Angela_Angel,NA,angel4dist25,0.11706210496345126,0.02144249512670565,NA,NA,0.44202060951088973,40,0.01848723447285227
H2MD04349,"ANGEL, ANGELA",MD,04,DEMOCRATIC PARTY,House,Open seat,P,NA,Angela_Angel,NA,thepoliticchic,0.11706210496345126,0.02144249512670565,NA,NA,0.44202060951088973,40,0.01848723447285227
H2CA38252,"ANI, SYLVESTER UGONNA JR.",CA,38,DEMOCRATIC PARTY,House,Challenger,C,NA,NA,NA,NA,NA,NA,NA,NA,0.19960700656621166,14,0.11806974985302958
H2FL09251,"ANTHONY, MARLIN DANIEL",FL,09,REPUBLICAN PARTY,House,Challenger,C,NA,NA,NA,NA,NA,NA,NA,NA,0.007167097283350299,8,0.13880812403115392
H2NJ06244,"ANTISELL, ERIC",NJ,06,OTHER,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.2628873694538585,8,0.08760165193766052
H2TX14214,"ANTONELLI, JEFF",TX,14,DEMOCRATIC PARTY,House,Challenger,P,NA,NA,NA,NA,NA,NA,NA,NA,0.47103421612664986,17,0.10977143822531582
H2NY01141,"ANTONUCCI, NICHOLAS",NY,01,DEMOCRATIC PARTY,House,Open seat,P,NA,NA,NA,NA,NA,NA,NA,NA,0.07034437727530096,3,0.06019866772979984
H0FL19163,"AQUINO, DARREN DIONE MR.",FL,25,REPUBLICAN PARTY,House,Challenger,P,NA,NA,NA,NA,NA,NA,NA,NA,0.23725968092684435,9,0.2714703350381759
H2TX35185,"ARAGONA, JENAI",TX,35,REPUBLICAN PARTY,House,Challenger,P,NA,Jenai_Aragona-Hales,NA,jenaih,NA,NA,NA,NA,0.10090889196192365,21,0.03737369305455727
H0CA22102,"ARBALLO, PHIL",CA,13,DEMOCRATIC PARTY,House,Challenger,C,NA,Phil_Arballo,NA,NA,NA,NA,NA,NA,0.11261218083000601,4,0.16442122681784235
H0IA01174,"ARENHOLZ, ASHLEY HINSON",IA,02,REPUBLICAN PARTY,House,Incumbent,C,H001091,NA,456816,hinsonashley,0.8962557258899488,0.5185185185185185,0.368,0.3229287724686336,0.26199786168166384,4,0.11185766088589577
H0IA01174,"ARENHOLZ, ASHLEY HINSON",IA,02,REPUBLICAN PARTY,House,Incumbent,C,H001091,NA,456816,repashleyhinson,0.8962557258899488,0.5185185185185185,0.368,0.3229287724686336,0.26199786168166384,4,0.11185766088589577
H2KY38012,"ARGYLE, MARK MR",KY,38,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H2FL21140,"ARIANAS, PETER STEVEN",FL,22,REPUBLICAN PARTY,House,Challenger,P,NA,Peter_Arianas,NA,peter_arianas,NA,NA,NA,NA,0.04671387715120967,7,0.15424694325033894
H0TX16106,"ARMENDARIZ-JACKSON, IRENE",TX,16,REPUBLICAN PARTY,House,Challenger,P,NA,Irene_Armendariz-Jackson,NA,amazingurl09,0.8922193190080685,0.4902534113060429,NA,NA,0.11637217574606551,17,0.06812335956530924
H0TX16106,"ARMENDARIZ-JACKSON, IRENE",TX,16,REPUBLICAN PARTY,House,Challenger,P,NA,Irene_Armendariz-Jackson,NA,armendarizdis16,0.8922193190080685,0.4902534113060429,NA,NA,0.11637217574606551,17,0.06812335956530924
H2AK00267,"ARMSTRONG, JAY R",AK,00,WRITE-IN,House,Open seat,N,NA,NA,NA,NA,NA,NA,NA,NA,0.49543194293402926,8,0.0963368019870488
H8ND00096,"ARMSTRONG, KELLY",ND,00,REPUBLICAN PARTY,House,Incumbent,C,A000377,Kelly_Armstrong_(North_Dakota),412794,armstrong_km,0.9047530022575644,0.6276803118908382,0.47,0.19253488538169283,0.4920034878498063,20,0.02210475712780275
H8ND00096,"ARMSTRONG, KELLY",ND,00,REPUBLICAN PARTY,House,Incumbent,C,A000377,Kelly_Armstrong_(North_Dakota),412794,armstrong_nd,0.9047530022575644,0.6276803118908382,0.47,0.19253488538169283,0.4920034878498063,20,0.02210475712780275
