,fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,party_simple,key,ballotpedia,bioguide_id,twitter_name,twitter_id,twitter_status_tweet,twitter_status_name,twitter_status_id
28,H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,alma  adams,https://ballotpedia.org/Alma_Adams,A000370,scottforsc,1522046593670991872,,,
29,H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,alma  adams,https://ballotpedia.org/Alma_Adams,A000370,almaforcongress,1609364557,,,
30,H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,alma  adams,https://ballotpedia.org/Alma_Adams,A000370,ackermanfornc,1392512404370690054,,,
31,H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,alma  adams,https://ballotpedia.org/Alma_Adams,A000370,atticaforky,14304836,,,
33,H2NV01322,"ADAMS, JANE",NV,1,REPUBLICAN PARTY,House,Challenger,N,Republican,jane  adams,https://ballotpedia.org/Jane_Adams,,repdavidscott,168673083,,,
34,H2NV01322,"ADAMS, JANE",NV,1,REPUBLICAN PARTY,House,Challenger,N,Republican,jane  adams,https://ballotpedia.org/Jane_Adams,,repadams,2916086925,,,
35,H2TN03235,"ADAMS, MATT",TN,3,DEMOCRATIC PARTY,House,Challenger,P,Democrat,matt  adams,,,electdavidscott,170341758,,,
37,H2SC06126,"ADDISON, MICHAEL ANTONIO DR.",SC,6,DEMOCRATIC PARTY,House,Challenger,N,Democrat,michael  addison,https://ballotpedia.org/Michael_Addison,,repadams,2916086925,,,
38,H2SC06126,"ADDISON, MICHAEL ANTONIO DR.",SC,6,DEMOCRATIC PARTY,House,Challenger,N,Democrat,michael  addison,https://ballotpedia.org/Michael_Addison,,electdavidscott,170341758,,,
40,H2TX09131,"ADDISON, RANDALL LEE MR.",TX,9,INDEPENDENT,House,Challenger,N,Other,randall  addison,,,almaforcongress,1609364557,,,
41,H2FL21132,"ADEIMY, DEBORAH",FL,22,REPUBLICAN PARTY,House,Challenger,N,Republican,deborah  adeimy,https://ballotpedia.org/Deborah_Adeimy,,,,,,
42,H2CT81017,"ADELPHI, ADRIAN",CT,81,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,adrian  adelphi,,,austinscott4ga,31191969,,,
43,H2CT81017,"ADELPHI, ADRIAN",CT,81,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,adrian  adelphi,,,ilovejaneadams,1503819567008821254,,,
44,H6AL04098,"ADERHOLT, ROBERT B. REP.",AL,4,REPUBLICAN PARTY,House,Incumbent,N,Republican,robert  aderholt,https://ballotpedia.org/Robert_Aderholt,A000055,austinscottga08,234797704,,,
46,H0KS03236,"ADKINS, AMANDA",KS,3,REPUBLICAN PARTY,House,Challenger,P,Republican,amanda  adkins,https://ballotpedia.org/Amanda_Adkins,,bobbyscott,161791703,,,
48,H2VA07212,"ADKINS, GARY GENE",VA,7,REPUBLICAN PARTY,House,Challenger,N,Republican,gary  adkins,,,bobbyscott4va3,319829219,,,
51,H2NV02536,"AFZAL, JOSEPH EDWARD",NV,2,DEMOCRATIC PARTY,House,Challenger,N,Democrat,joseph  afzal,https://ballotpedia.org/Joseph_Afzal,,bobbyscott,161791703,,,
52,H2OH05054,"AGAN, JEFFREY JOHN MR. JR",OH,5,DEMOCRATIC PARTY,House,Challenger,N,Democrat,jeffrey  agan,,,debadeimy,1453211058160668677,,,
53,H2OH05054,"AGAN, JEFFREY JOHN MR. JR",OH,5,DEMOCRATIC PARTY,House,Challenger,N,Democrat,jeffrey  agan,,,bobbyscott4va3,319829219,,,
54,H2NY11165,"AGODA-KOUSSEMA, KOMI L.T. DR.",NY,11,DEMOCRATIC PARTY,House,Challenger,P,Democrat,komi  agodakoussema,https://ballotpedia.org/Komi_Agoda-Koussema,,,,,,
55,H2AK00374,"AGUAYO, DENNIS W. ""DENNY""",AK,0,NONPARTISAN,House,Open seat,N,Other,dennis  aguayo,https://ballotpedia.org/Dennis_Aguayo,,robert_aderholt,76452765,,,
57,H0FL04140,"AGUILAR, ERICK JAVIER",FL,4,REPUBLICAN PARTY,House,Challenger,P,Republican,erick  aguilar,https://ballotpedia.org/Erick_Aguilar,,robert_aderholt,76452765,,,
58,H0FL04140,"AGUILAR, ERICK JAVIER",FL,4,REPUBLICAN PARTY,House,Challenger,P,Republican,erick  aguilar,https://ballotpedia.org/Erick_Aguilar,,electsamsearcy,882403440785326081,,,
59,H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar,A000371,seely4congress,1531062510341718018,,,
60,H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar,A000371,davidsegalri,228784353,,,
61,H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar,A000371,tayfun_selen,1301638152,,,
62,H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar,A000371,amanda_adkins,34021624,,,
63,H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar,A000371,repkeithself,1612430165585416192,,,
65,H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar,A000371,peteaguilar,768489333393272832,,,
66,H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar,A000371,erickaguilarjax,,No tweets found.,Name not found.,
67,H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar,A000371,agoda4sibk,1530028958535888896,,,
68,H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar,A000371,selfforcongress,1440271846042001412,,,
69,H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar,A000371,joeyafzal,1503193171144052737,,,
71,H2IL03188,"AGUIRRE, JUAN ENRIQUE",IL,3,DEMOCRATIC PARTY,House,Challenger,P,Democrat,juan  aguirre,https://ballotpedia.org/Juan_Aguirre_(Illinois),,reppeteaguilar,3018670151,,,
72,H2IL08146,"AHMED, JUNAID",IL,8,DEMOCRATIC PARTY,House,Challenger,P,Democrat,junaid  ahmed,https://ballotpedia.org/Junaid_Ahmed,,johnselker,,No tweets found.,Name not found.,
75,H2NC02279,"AHRENS, RICHARD JAMES JR.",NC,2,REPUBLICAN PARTY,House,Challenger,N,Republican,richard  ahrens,,,aguilarpete,41533245,,,
76,H4NC02127,"AIKEN, CLAYTON CLAY",NC,4,DEMOCRATIC PARTY,House,Open seat,P,Democrat,clayton  aiken,https://ballotpedia.org/Clay_Aiken,,reppeteaguilar,3018670151,,,
77,H4NC02127,"AIKEN, CLAYTON CLAY",NC,4,DEMOCRATIC PARTY,House,Open seat,P,Democrat,clayton  aiken,https://ballotpedia.org/Clay_Aiken,,davidsellersms,1437837389288837120,,,
78,H2NC01255,"AIKEN, WILLIAM",NC,1,REPUBLICAN PARTY,House,Open seat,P,Republican,william  aiken,https://ballotpedia.org/Will_Aiken,,marissaselvig,1282083250580582400,,,
79,H2NC01255,"AIKEN, WILLIAM",NC,1,REPUBLICAN PARTY,House,Open seat,P,Republican,william  aiken,https://ballotpedia.org/Will_Aiken,,peteaguilar,768489333393272832,,,
80,H0HI02213,"AKANA, JOSEPH",HI,2,REPUBLICAN PARTY,House,Challenger,P,Republican,joseph  akana,https://ballotpedia.org/Joseph_Akana,,,,,,
81,H2NY05118,"AKHLAGHY, NADER",NY,5,PEACE AND FREEDOM PARTY,House,Challenger,N,Other,nader  akhlaghy,,,,,,,
82,H2OR04152,"AL-ABDRABBUH, SAMI",OR,4,DEMOCRATIC PARTY,House,Open seat,P,Democrat,sami  alabdrabbuh,https://ballotpedia.org/Sami_Al-Abdrabbuh,,joesempo,1352683476718407681,,,
83,H2OR04152,"AL-ABDRABBUH, SAMI",OR,4,DEMOCRATIC PARTY,House,Open seat,P,Democrat,sami  alabdrabbuh,https://ballotpedia.org/Sami_Al-Abdrabbuh,,junaidforus,1353769946556325889,,,
84,H2FL11166,"ALCANTARA, CHRISTOPHER MANUEL",FL,11,NO PARTY AFFILIATION,House,Challenger,N,Other,christopher  alcantara,,,,,,,
86,H6NH02089,"ALCIERE, TOM",NH,1,REPUBLICAN PARTY,House,Challenger,N,Republican,tom  alciere,https://ballotpedia.org/Tom_Alciere,,clayaiken,45924487,,,
87,H2AL01200,"ALCORN, PETER DAVID",AL,1,REPUBLICAN PARTY,House,Challenger,N,Republican,peter  alcorn,,,,,,,
89,H2HI01112,"ALCUBILLA, SERGIO JOSEPHUS MR. III",HI,1,DEMOCRATIC PARTY,House,Challenger,P,Democrat,sergio  alcubilla,https://ballotpedia.org/Sergio_Alcubilla,,carolina4nv,24081859,,,
91,H2OH07258,"ALEXANDER, ANTHONY LEON",OH,7,REPUBLICAN PARTY,House,Open seat,N,Republican,anthony  alexander,https://ballotpedia.org/Anthony_Leon_Alexander,,joe_akana,1271014376556777472,,,
93,H2WI02199,"ALEXANDER, DOUGLAS",WI,2,INDEPENDENT,House,Challenger,N,Other,douglas  alexander,https://ballotpedia.org/Douglas_Alexander_(Wisconsin),,assetforfeiture,891360005483630592,,,
94,H2OH11300,"ALEXANDER, MARTIN",OH,6,DEMOCRATIC PARTY,House,Challenger,N,Democrat,martin  alexander,https://ballotpedia.org/Martin_Alexander,,,,,,
95,H2MO07127,"ALEXANDER, SAM DR",MO,7,REPUBLICAN PARTY,House,Open seat,C,Republican,sam  alexander,https://ballotpedia.org/Sam_Alexander_(Missouri),,samioregon,16537540,,,
96,H2MO07127,"ALEXANDER, SAM DR",MO,7,REPUBLICAN PARTY,House,Open seat,C,Republican,sam  alexander,https://ballotpedia.org/Sam_Alexander_(Missouri),,petesessions,24735461,,,
98,H2NJ02193,"ALEXANDER, TIMOTHY C",NJ,2,DEMOCRATIC PARTY,House,Challenger,P,Democrat,timothy  alexander,https://ballotpedia.org/Tim_Alexander,,petesessions,24735461,,,
99,H2MI04260,"ALFONSO, JOSEPH",MI,4,DEMOCRATIC PARTY,House,Challenger,N,Democrat,joseph  alfonso,https://ballotpedia.org/Joseph_Alfonso,,sessionstx17,2756069574,,,
101,H2MO04207,"ALFORD, MARK",MO,4,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  alford,https://ballotpedia.org/Mark_Alford,A000379,tomalciere,2249483546,,,
103,H2MO04207,"ALFORD, MARK",MO,4,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  alford,https://ballotpedia.org/Mark_Alford,A000379,sessler,,No tweets found.,Name not found.,
104,H2NC06098,"ALLAM, NIDA",NC,4,DEMOCRATIC PARTY,House,Challenger,P,Democrat,nida  allam,https://ballotpedia.org/Nida_Allam,,,,,,
106,H2CO08103,"ALLCORN, TYLER",CO,8,REPUBLICAN PARTY,House,Open seat,C,Republican,tyler  allcorn,https://ballotpedia.org/Tyler_Allcorn,,joe_severino,802784258,,,
107,H2IN07195,"ALLEN, BILL",IN,7,REPUBLICAN PARTY,House,Challenger,C,Republican,bill  allen,https://ballotpedia.org/Bill_Allen_(Indiana),,sergio4hawaii,1410842502039412745,,,
108,H2IN07195,"ALLEN, BILL",IN,7,REPUBLICAN PARTY,House,Challenger,C,Republican,bill  allen,https://ballotpedia.org/Bill_Allen_(Indiana),,sewell4congress,69326168,,,
109,H4CA24175,"ALLEN, BRAD DR",CA,24,REPUBLICAN PARTY,House,Challenger,N,Republican,brad  allen,https://ballotpedia.org/Brad_Allen_(California),,repterrisewell,381152398,,,
111,H2CA24229,"ALLEN, BRAD DR.",CA,24,REPUBLICAN PARTY,House,Challenger,P,Republican,brad  allen,https://ballotpedia.org/Brad_Allen_(California),,sewell4congress,69326168,,,
112,H2CA24229,"ALLEN, BRAD DR.",CA,24,REPUBLICAN PARTY,House,Challenger,P,Republican,brad  allen,https://ballotpedia.org/Brad_Allen_(California),,anthony4congres,1509155482522595333,No tweets found.,,
113,H2PA10108,"ALLEN, BRIAN",PA,10,REPUBLICAN PARTY,House,Challenger,P,Republican,brian  allen,,,repterrisewell,381152398,,,
115,H2IL17105,"ALLEN, COREY",IL,17,REPUBLICAN PARTY,House,Open seat,N,Republican,corey  allen,,,douglaswi1957,2730874525,,,
117,H2SC07256,"ALLEN, GRAHAM",SC,7,REPUBLICAN PARTY,House,Challenger,C,Republican,graham  allen,,,,,,,
118,H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  allen,https://ballotpedia.org/Rick_Allen,A000372,jodyshackelford,236735398,,,
119,H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  allen,https://ballotpedia.org/Rick_Allen,A000372,jeremyshafferpa,2793021246,,,
120,H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  allen,https://ballotpedia.org/Rick_Allen,A000372,lacandidatejake,1462465989564682251,,,
121,H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  allen,https://ballotpedia.org/Rick_Allen,A000372,alfonsoformi4,1256761233367281666,,,
122,H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  allen,https://ballotpedia.org/Rick_Allen,A000372,talexander_nj02,1368693584397033484,,,
125,H2SC01093,"ALLEN, THOMAS JASON",SC,1,REPUBLICAN PARTY,House,Challenger,N,Republican,thomas  allen,,,markalfordkc,704689629,,,
126,H2TN06154,"ALLEY, JOSH",TN,6,INDEPENDENT,House,Challenger,N,Other,josh  alley,,,repmarkalford,1612483604071727104,,,
128,H2MD04364,"ALLISON, TAMMY",MD,4,DEMOCRATIC PARTY,House,Open seat,N,Democrat,tammy  allison,https://ballotpedia.org/Tammy_Allison_(Texas),,nidaallam,97753971,,,
129,H2MD04364,"ALLISON, TAMMY",MD,4,DEMOCRATIC PARTY,House,Open seat,N,Democrat,tammy  allison,https://ballotpedia.org/Tammy_Allison_(Texas),,rickyshannon1,325609524,,,
130,H8TX32098,"ALLRED, COLIN",TX,32,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,colin  allred,https://ballotpedia.org/Colin_Allred,A000376,bestmom39,,No tweets found.,Name not found.,
131,H8TX32098,"ALLRED, COLIN",TX,32,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,colin  allred,https://ballotpedia.org/Colin_Allred,A000376,allcorn4co,1476205164902113280,,,
133,H8TX32098,"ALLRED, COLIN",TX,32,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,colin  allred,https://ballotpedia.org/Colin_Allred,A000376,barbarasharief,317294291,,,
134,H0GA03074,"ALMONORD, VALBRUN DR.",GA,3,DEMOCRATIC PARTY,House,Challenger,P,Democrat,valbrun  almonord,https://ballotpedia.org/Val_Almonord,,,,,,
136,H2FL23120,"ALMONTE, MELINDA",FL,24,REPUBLICAN PARTY,House,Challenger,C,Republican,melinda  almonte,,,johnsharkey2022,1470115995268358144,,,
137,H2OR06108,"ALONSO LEON, TERESA",OR,6,DEMOCRATIC PARTY,House,Open seat,P,Democrat,teresa  leon,https://ballotpedia.org/Teresa_Alonso_Leon,,,,,,
138,H8IN09131,"ALSPACH, JAMES DEAN",IN,6,REPUBLICAN PARTY,House,Challenger,N,Republican,james  alspach,https://ballotpedia.org/James_Dean_Alspach,,jenny4congress,1218203858104725511,,,
140,H2VA02072,"ALTMAN, LARRY THOMAS III",VA,2,REPUBLICAN PARTY,House,Challenger,C,Republican,larry  altman,https://ballotpedia.org/Tommy_Altman,,reprickallen,2964287128,,,
142,H2TX15146,"ALVARADO, ELIZA DR.",TX,15,DEMOCRATIC PARTY,House,Challenger,C,Democrat,eliza  alvarado,https://ballotpedia.org/Eliza_Alvarado,,,,,,
143,H2TX22134,"ALVAREZ, ANDREW RUBEN",TX,9,REPUBLICAN PARTY,House,Challenger,N,Republican,andrew  alvarez,,,reprickallen,2964287128,,,
145,H2GA10174,"ALVEY, ANDREW",GA,10,REPUBLICAN PARTY,House,Open seat,N,Republican,andrew  alvey,,,rickallen,385111151,,,
147,H4AS00036,"AMATA, AUMUA",AS,0,REPUBLICAN PARTY,House,Incumbent,C,Republican,aumua  amata,,R000600,,,,,
148,H2CA23148,"AMATO, BRUNO",CA,23,DEMOCRATIC PARTY,House,Challenger,C,Democrat,bruno  amato,,,alishakshelton,1178703007380381696,,,
150,H2AK00556,"AMBROSE, DAVID",AK,0,WRITE-IN,House,Challenger,N,Other,david  ambrose,https://ballotpedia.org/David_Ambrose,,,,,,
151,H2MI11265,"AMBROSE, MARK",MI,11,REPUBLICAN PARTY,House,Challenger,P,Republican,mark  ambrose,https://ballotpedia.org/Mark_Ambrose,,colinallredtx,346964561,,,
154,H2MD02368,"AMBROSE, NICOLEE",MD,2,REPUBLICAN PARTY,House,Challenger,P,Republican,nicolee  ambrose,https://ballotpedia.org/Nicolee_Ambrose,,repcolinallred,1078355119920562176,,,
155,H0ME01127,"AMEDE, AARON",ME,1,DEMOCRATIC PARTY,House,Challenger,N,Democrat,aaron  amede,,,colinallredtx,346964561,,,
156,H0ME01127,"AMEDE, AARON",ME,1,DEMOCRATIC PARTY,House,Challenger,N,Democrat,aaron  amede,,,bradsherman4sfv,494291143,,,
158,H2OH03208,"AMICUCCI, ALEXANDER Q.",OH,3,WRITE-IN,House,Challenger,N,Other,alexander  amicucci,,,bradsherman,30216513,,,
159,H2NV02395,"AMODEI, MARK EUGENE",NV,2,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  amodei,https://ballotpedia.org/Mark_Amodei,,bradsherman4sfv,494291143,,,
160,H2NV02395,"AMODEI, MARK EUGENE",NV,2,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  amodei,https://ballotpedia.org/Mark_Amodei,,bradsherman,30216513,,,
162,H2NV02395,"AMODEI, MARK EUGENE",NV,2,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  amodei,https://ballotpedia.org/Mark_Amodei,,valforcongress3,1248605771170013184,,,
163,H0VA11127,"ANANTATMULA, MANGA",VA,11,REPUBLICAN PARTY,House,Challenger,C,Republican,manga  anantatmula,https://ballotpedia.org/Manga_Anantatmula,,mikiesherrill,1577754348,,,
164,H0VA11127,"ANANTATMULA, MANGA",VA,11,REPUBLICAN PARTY,House,Challenger,C,Republican,manga  anantatmula,https://ballotpedia.org/Manga_Anantatmula,,teresa4oregon,1483900403649433602,,,
165,H2MO02169,"ANDERS, BOB",MO,2,INDEPENDENT,House,Challenger,N,Other,bob  anders,,,repsherrill,1080569698536878081,,,
166,H2MO02169,"ANDERS, BOB",MO,2,INDEPENDENT,House,Challenger,N,Other,bob  anders,,,alonsonhli_leon,3335776391,,,
167,H2CO07196,"ANDERSEN, CARL E",CO,7,REPUBLICAN PARTY,House,Open seat,C,Republican,carl  andersen,,,,,,,
168,H2AZ06312,"ANDERSON, BYRON AVERY",AZ,6,DEMOCRATIC PARTY,House,Challenger,N,Democrat,byron  anderson,https://ballotpedia.org/Avery_Anderson_(Arizona),,mikiesherrill,1577754348,,,
169,H2AZ06312,"ANDERSON, BYRON AVERY",AZ,6,DEMOCRATIC PARTY,House,Challenger,N,Democrat,byron  anderson,https://ballotpedia.org/Avery_Anderson_(Arizona),,tommyaltman,19691167,,,
170,H2WA09172,"ANDERSON, DAVID",WA,9,INDEPENDENT,House,Challenger,N,Other,david  anderson,https://ballotpedia.org/David_Michael_Anderson_(Washington_congressional_candidate),,ashmi4congress,754024605992488960,,,
172,H2WA09206,"ANDERSON, DAVID",WA,9,INDEPENDENT,House,Challenger,N,Other,david  anderson,https://ballotpedia.org/David_Michael_Anderson_(Washington_congressional_candidate),,,,,,
173,H2TX35102,"ANDERSON, DAVID LEE JR",TX,21,DEMOCRATIC PARTY,House,Challenger,P,Democrat,david  anderson,https://ballotpedia.org/David_Anderson_(Texas_congressional_candidate),,,,,,
174,H2VA07170,"ANDERSON, DERRICK",VA,7,REPUBLICAN PARTY,House,Challenger,P,Republican,derrick  anderson,https://ballotpedia.org/Derrick_Anderson,,,,,,
175,H2FL20316,"ANDERSON, DWIGHT A MR",FL,20,DEMOCRATIC PARTY,House,Open seat,N,Democrat,dwight  anderson,,,,,,,
176,H2VA01108,"ANDERSON, JESSICA",VA,1,DEMOCRATIC PARTY,House,,N,Democrat,jessica  anderson,,,repamata,3026622545,,,
177,H2VA01108,"ANDERSON, JESSICA",VA,1,DEMOCRATIC PARTY,House,,N,Democrat,jessica  anderson,,,morgunsholtynv,1491675900257058818,,,
178,H0OH07104,"ANDERSON, JOHN DAVID",OH,6,REPUBLICAN PARTY,House,Challenger,N,Republican,john  anderson,https://ballotpedia.org/John_Anderson_(Ohio),,,,,,
179,H2AL02158,"ANDERSON, TERRELL",AL,2,DEMOCRATIC PARTY,House,Challenger,N,Democrat,terrell  anderson,,,,,,,
180,H2NJ11228,"ANDERSON, TOBY",NJ,11,REPUBLICAN PARTY,House,Challenger,P,Republican,toby  anderson,https://ballotpedia.org/Toby_Anderson_(New_Jersey),,repshultz,1467321083879641093,,,
181,H2NJ11228,"ANDERSON, TOBY",NJ,11,REPUBLICAN PARTY,House,Challenger,P,Republican,toby  anderson,https://ballotpedia.org/Toby_Anderson_(New_Jersey),,votemarkambrose,1519298660160442368,No tweets found.,,
182,H2MN01314,"ANDERSON, WARREN LEE",MN,1,DEMOCRATIC-FARMER-LABOR,House,Challenger,N,Other,warren  anderson,,,shultzy96,1207736212020244482,,,
184,H2SC01127,"ANDREWS, ANNIE DR.",SC,1,DEMOCRATIC PARTY,House,Challenger,P,Democrat,annie  andrews,https://ballotpedia.org/Annie_Andrews,,michaelshure,161752401,,,
185,H2SC01127,"ANDREWS, ANNIE DR.",SC,1,DEMOCRATIC PARTY,House,Challenger,P,Democrat,annie  andrews,https://ballotpedia.org/Annie_Andrews,,nicoleeambrose,1210009123,,,
186,H2KY05193,"ANDREWS, JEANETTE",KY,5,REPUBLICAN PARTY,House,Challenger,N,Republican,jeanette  andrews,https://ballotpedia.org/Jeannette_Andrews,,,,,,
187,H2CA09162,"ANDREWS, MARK T",CA,9,NO PARTY PREFERENCE,House,Open seat,N,Other,mark  andrews,https://ballotpedia.org/Mark_Andrews_(California),,,,,,
189,H2OK02307,"ANDREWS, NAOMI",OK,2,DEMOCRATIC PARTY,House,Open seat,P,Democrat,naomi  andrews,https://ballotpedia.org/Naomi_Andrews_(Oklahoma),,imransiddiquifl,21175884,,,
190,H2NC09217,"ANDRIANI, MICHAEL",NC,9,REPUBLICAN PARTY,House,Challenger,N,Republican,michael  andriani,https://ballotpedia.org/Mike_Andriani,,markamodeinv2,402719755,,,
192,H2NC13227,"ANERALLA, JOHN",NC,13,REPUBLICAN PARTY,House,Open seat,P,Republican,john  aneralla,,,amodeifornevada,85689484,,,
