"skill","search_word"
"AGI","agi"
"OpenAI","openai"
"Topic modeling","topic modeling"
"Generative modeling","generative modeling"
"ASIC Design","asic design"
"Fraud risk","fraud risk"
"Bigtable","bigtable"
"BERT","bert"
"UX Research","ux research"
"GPT-3","gpt 3"
"MVPs","mvps"
"Cybernetics","cybernetics"
"GraphQL","graphql"
"OCR","ocr"
"Haskell","haskell"
"Machine intelligence","machine intelligence"
"NLG","nlg"
"HuggingFace","huggingface"
"SLAM","slam"
"Visual SLAM","visual slam"
"Minitab","minitab"
"Seaborn","seaborn"
"Vue","vue"
"CAD","cad"
"ASR","asr"
"Probability theory","probability theory"
"DataRobot","datarobot"
"ISO 27001","iso 27001"
"Periscope","periscope"
"Nvidia Jetson","nvidia jetson"
"Clinical NLP","clinical nlp"
"RDF","rdf"
"Anaconda","anaconda"
"Postdoc","postdoc"
"AI strategy","ai strategy"
"JMLR","jmlr"
"Speech synthesis","speech synthesis"
"Circuit Design","circuit design"
"Human Machine Interaction","human machine interaction"
"Azkaban","azkaban"
"ONNX","onnx"
"Firehose","firehose"
"Survey data","survey data"
"Protein engineering","protein engineering"
"Mendelian Randomization","mendelian randomization"
"ggplot2","ggplot2"
"Elixir","elixir"
"HiveSQL","hivesql"
"SparkML","sparkml"
"EMNLP","emnlp"
"TOGAF","togaf"
"CockroachDB","cockroachdb"
"DDL","ddl"
"XLNet","xlnet"
"HiveQL","hiveql"
"3D Reconstruction","3d reconstruction"
"3D graphics","3d graphics"
"Autoregressive models","autoregressive models"
"Sports industry","sports industry"
"Accounting concepts","accounting concepts"
"Driver’s license","drivers license"
"Weka","weka"
"GPT-2","gpt 2"
"Airtable","airtable"
"StyleGAN","stylegan"
"Aggregation","aggregation"
"Agile methodologies","agile methodologies"
"AngularJS","angularjs"
"API","api"
"Automation","automation"
"Batch normalization","batch normalization"
"Bioinformatics","bioinformatics"
"Biomedical Engineering","biomedical engineering"
"Bokeh","bokeh"
"Bootstrapping","bootstrapping"
"Business acumen","business acumen"
"C","c"
"C#","c#"
"Calculus","calculus"
"Cloud computing","cloud computing"
"Collaboration","collabor"
"Command line","command line"
"Communicare","communicare"
"Communication","communication"
"Creativity","creativity"
"Critical thinking","critical thinking"
"Cross validation","cross validation"
"CSS","css"
"Curiosity","curiosity"
"Cybersecurity","cybersecurity"
"Data cleaning","data cleaning"
"Data collection","data collection"
"Data communication","data communication"
"Data driven decision making","data driven decision making"
"Data engineering","data engineering"
"Data integration","data integration"
"Data literacy","data literacy"
"Data modeling","data modeling"
"Data preprocessing","data preprocessing"
"Data processing ","data processing "
"Data science","data science"
"Data security","data security"
"Data storage","data storage"
"Data structure","data structure"
"Data validation","data validation"
"Data wrangling","data wrangling"
"Database knowledge","database knowledge"
"Database management","database management"
"Decision forest","decision forest"
"Decision trees","decision trees"
"Dimensionality reduction","dimensionality reduction"
"Distributed computing","distributed computing"
"Ensemble methods","ensemble methods"
"Experiment design","experiment design"
"Feature selection","feature selection"
"FedScope","fedscope"
"Git version control","git version control"
"Google Analytics","google analytics"
"Google Sheets","google sheets"
"Google Tag Manager","google tag manager"
"Gradient boosting","gradient boosting"
"Hierarchical clustering","hierarchical clustering"
"HTML","html"
"Hypothesis testing","hypothesis testing"
"js","js"
"Leadership","leadership"
"Linear regression","linear regression"
"Logistic regression","logistic regression"
"Machine learning algorithms","machine learning algorithms"
"MATLAB","matlab"
"Microsoft Office","microsoft office"
"Microsoft SQL Server","microsoft sql server"
"Model evaluation","model evaluation"
"Model interpretation","model interpretation"
"Model tuning","model tuning"
"Naive Bayes","naive bayes"
"Natural Language Processing ","natural language processing "
"Neural network","neural network"
"Optimization","optimization"
"Oracle Database","oracle database"
"Predictive analytics","predictive analytics"
"Problem solving ","problem solving "
"Programming","programming"
"Project management","project management"
"Random forests","random forests"
"Reinforcement learning","reinforcement learning"
"Risk modeling","risk modeling"
"Sampling","sampling"
"Scripting","scripting"
"Software developement life cycle","software developement life cycle"
"SPSS","spss"
"Statistical analysis","statistical analysis"
"Storytelling","storytelling"
"Supervised learning","supervised learning"
"Support vector machines ","support vector machines "
"Teamwork","teamwork"
"Time series analysis","time series analysis"
"Unix","unix"
"Unsupervised learning","unsupervised learning"
"Web developement","web developement"
"Data analysis","analyze data"
