name,party,state,district,last_election,twitter,ballotpedia
Jaime Herrera Beutler,Republican Party,Washington,3,"August 2, 2022",['https://www.twitter.com/JaimeForUSRep'],https://ballotpedia.org/Jaime_Herrera_Beutler
Lulite Ejigu,Republican Party,Texas,29,"March 1, 2022",[],https://ballotpedia.org/Lulite_Ejigu
David Pinckney,Republican Party,New Jersey,10,"November 8, 2022",[],https://ballotpedia.org/David_Pinckney
Maria Elvira Salazar,Republican Party,Florida,27,"November 8, 2022","['https://www.twitter.com/RepMariaSalazar', 'https://www.twitter.com/MaElviraSalazar']",https://ballotpedia.org/Maria_Elvira_Salazar
Brandon Monhollen,Republican Party,Kentucky,5,"May 17, 2022",['https://www.twitter.com/Brandon4_KY_5th'],https://ballotpedia.org/Brandon_Monhollen
Elizabeth Haderlein,Democratic Party,Illinois,16,"November 8, 2022",['https://www.twitter.com/LisaHaderlein'],https://ballotpedia.org/Elizabeth_Haderlein
Gerald Edward Connolly,Democratic Party,Virginia,11,"November 8, 2022","['https://www.twitter.com/GerryConnolly', 'https://www.twitter.com/ElectConnolly']",https://ballotpedia.org/Gerald_Connolly
Cherif Gacis,Democratic Party,Texas,21,"March 1, 2022",['https://www.twitter.com/cherif4congress'],https://ballotpedia.org/Cherif_Gacis
J.R. Myers,Libertarian Party,Alaska,,"August 16, 2022",['https://www.twitter.com/JohricmyeJ'],https://ballotpedia.org/J.R._Myers
Steve Cohen,Democratic Party,Tennessee,9,"November 8, 2022","['https://www.twitter.com/RepCohen', 'https://www.twitter.com/ReElectCohen']",https://ballotpedia.org/Steve_Cohen
Justin Waters,Republican Party,Florida,3,"August 23, 2022",['https://www.twitter.com/justinwaterslaw'],https://ballotpedia.org/Justin_Waters
Eddie Tarazona,Republican Party,Florida,18,"August 23, 2022",['https://www.twitter.com/EddieTarazonaFL'],https://ballotpedia.org/Eddie_Tarazona
Angela Plowhead,Republican Party,Oregon,6,"May 17, 2022",['https://www.twitter.com/angelafororegon'],https://ballotpedia.org/Angela_Plowhead
Michael McCaul,Republican Party,Texas,10,"November 8, 2022","['https://www.twitter.com/RepMcCaul', 'https://www.twitter.com/McCaulforTexas']",https://ballotpedia.org/Michael_McCaul
Ryan McGonigal,American Constitution Party,Colorado,4,"November 8, 2022",['https://www.twitter.com/ryan4congressco'],https://ballotpedia.org/Ryan_McGonigal
Marc McMain,Republican Party,Georgia,10,"May 24, 2022",[],https://ballotpedia.org/Marc_McMain
Keith R. Hayden Jr.,No Party Affiliation,Florida,18,"November 8, 2022",[],https://ballotpedia.org/Keith_Hayden_Jr.
Mark Haugen,Democratic Party,North_Dakota,,"November 8, 2022",['https://www.twitter.com/haugenforhouse'],https://ballotpedia.org/Mark_Haugen
Ken Ashby,Libertarian Party,Texas,33,"November 8, 2022",[],https://ballotpedia.org/Ken_Ashby
Lee Murphy,Republican Party,Delaware,,"November 8, 2022",['https://www.twitter.com/goMurph2020'],https://ballotpedia.org/Lee_Murphy_(Delaware)
Paul Steury,Democratic Party,Indiana,2,"November 8, 2022",['https://www.twitter.com/PaulSteury'],https://ballotpedia.org/Paul_Steury
Mark Sweeney,Democratic Party,Montana,2,"June 7, 2022",['https://www.twitter.com/for_sweeney'],https://ballotpedia.org/Mark_Sweeney
Robert Palmer,Democratic Party,Illinois,1,"February 28, 2023",[],https://ballotpedia.org/Robert_Palmer_(Illinois)
Gilead Towne,Republican Party,New Hampshire,1,"September 13, 2022",['https://www.twitter.com/GileadTowne'],https://ballotpedia.org/Gilead_Towne
Nathan Gotsch,Independent,Indiana,3,"November 8, 2022",['https://www.twitter.com/NathanCongress'],https://ballotpedia.org/Nathan_Gotsch
Aaron Heineman,Independent,Utah,3,"November 8, 2022",[],https://ballotpedia.org/Aaron_Heineman
Howard Pollchik,Democratic Party,Indiana,4,"May 3, 2022",[],https://ballotpedia.org/Howard_Pollchik
Jim Costa,Democratic Party,California,21,"November 8, 2022",['https://www.twitter.com/RepJimCosta'],https://ballotpedia.org/Jim_Costa
Darin LaHood,Republican Party,Illinois,16,"November 8, 2022","['https://www.twitter.com/RepLaHood', 'https://www.twitter.com/DarinLaHoodIL']",https://ballotpedia.org/Darin_LaHood
Sandy Smith,Republican Party,North Carolina,1,"November 8, 2022",['https://www.twitter.com/SandySmithNC'],https://ballotpedia.org/Sandy_Smith_(North_Carolina)
Beatriz Reynoso,Democratic Party,Texas,34,"March 1, 2022",['https://www.twitter.com/VoteBeatrizTx34'],https://ballotpedia.org/Beatriz_Reynoso
Imani Oakley,Democratic Party,New Jersey,10,"June 7, 2022",['https://www.twitter.com/ImaniOakleyNJ10'],https://ballotpedia.org/Imani_Oakley
Juan Ciscomani,Republican Party,Arizona,6,"November 8, 2022",['https://www.twitter.com/juanciscomani'],https://ballotpedia.org/Juan_Ciscomani
Hunter Avery,Democratic Party,Mississippi,1,"June 7, 2022",['https://www.twitter.com/HunterKyleAver1'],https://ballotpedia.org/Hunter_Avery
Phil Kurtz,Libertarian Party,Texas,18,"November 8, 2022",['https://www.twitter.com/PhilKurtz3'],https://ballotpedia.org/Phil_Kurtz
Mike Craven,Republican Party,Kentucky,3,"May 17, 2022",[],https://ballotpedia.org/Mike_Craven
Claire Wirth,Republican Party,Kentucky,4,"May 17, 2022",['https://www.twitter.com/BuilderClaireKY'],https://ballotpedia.org/Claire_Wirth
Allen Cannon,,New Jersey,1,"November 8, 2022",[],https://ballotpedia.org/Allen_Cannon
Jeff Gregory,Republican Party,North Carolina,10,"May 17, 2022",[],https://ballotpedia.org/Jeff_Gregory
Shrina Kurani,Democratic Party,California,41,"June 7, 2022",['https://www.twitter.com/shrinakurani'],https://ballotpedia.org/Shrina_Kurani
Jennyfer Bucardo,Republican Party,North Carolina,9,"May 17, 2022",['https://www.twitter.com/jenforcongress'],https://ballotpedia.org/Jen_Bucardo
Pat Dowell,Nonpartisan,Illinois,1,"February 28, 2023",['https://www.twitter.com/AldPatDowell3rd'],https://ballotpedia.org/Pat_Dowell
Christopher Rodriguez,,California,49,"November 6, 2018",['https://www.twitter.com/Vote4CRod'],https://ballotpedia.org/Christopher_Rodriguez
David Ruiz,Republican Party,Indiana,1,"May 3, 2022",[],https://ballotpedia.org/David_Ruiz_(Indiana)
Eric Sorensen,Democratic Party,Illinois,17,"November 8, 2022","['https://www.twitter.com/RepEricSorensen', 'https://www.twitter.com/ERICSORENSEN']",https://ballotpedia.org/Eric_Sorensen
Bill Payne,Republican Party,Texas,6,"March 1, 2022",[],https://ballotpedia.org/Bill_Payne_(Texas)
Kaylee Peterson,Democratic Party,Idaho,1,"November 8, 2022",[],https://ballotpedia.org/Kaylee_Peterson
John White,Democratic Party,Arkansas,4,"November 8, 2022",[],https://ballotpedia.org/John_White_(Arkansas)
Tres Wittum,Republican Party,Tennessee,5,"August 4, 2022",['https://www.twitter.com/TRESforTN'],https://ballotpedia.org/Tres_Wittum
Ellen McNulty,Republican Party,Maryland,2,"July 19, 2022",['https://www.twitter.com/EJ4CONGRESS'],https://ballotpedia.org/Ellen_McNulty
Audrey Richards,Republican Party,Missouri,7,"August 2, 2022",['https://www.twitter.com/Audrey4Congress'],https://ballotpedia.org/Audrey_Richards
Robert Zimmerman,Democratic Party,New_York,3,"November 8, 2022","['https://www.twitter.com/ZimmermanforNY', 'https://www.twitter.com/ZimmermanRob']",https://ballotpedia.org/Robert_Zimmerman_(New_York)
Muzib Huq,Democratic Party,New York,4,"August 23, 2022",['https://www.twitter.com/MuzibulDr'],https://ballotpedia.org/Muzib_Huq
Chrissy Houlahan,Democratic Party,Pennsylvania,6,"November 8, 2022","['https://www.twitter.com/RepHoulahan', 'https://www.twitter.com/HoulahanForPa']",https://ballotpedia.org/Chrissy_Houlahan
Anne McCabe,Independent,Alaska,,"June 11, 2022",[],https://ballotpedia.org/Anne_McCabe
Scott Stephenson,Republican Party,Washington,8,"August 2, 2022",['https://www.twitter.com/scott4wa8'],https://ballotpedia.org/Scott_Stephenson
Guy Reschenthaler,Republican Party,Pennsylvania,14,"November 8, 2022","['https://www.twitter.com/GReschenthaler', 'https://www.twitter.com/reschenthaler']",https://ballotpedia.org/Guy_Reschenthaler
Warren Anderson,Democratic Party,Minnesota,1,"May 24, 2022",[],https://ballotpedia.org/Warren_Anderson
Michael Waltz,Republican Party,Florida,6,"November 8, 2022","['https://www.twitter.com/RepWaltzPress', 'https://www.twitter.com/michaelgwaltz']",https://ballotpedia.org/Michael_Waltz
Alan Grayson,Democratic Party,Florida,10,"August 23, 2022",['https://www.twitter.com/AlanGrayson'],https://ballotpedia.org/Alan_Grayson
Eric Brewer,Republican Party,Ohio,11,"November 8, 2022",['https://www.twitter.com/EricJBrewerCle'],https://ballotpedia.org/Eric_Brewer
Giuliano DePaolis,Independent,California,28,"June 7, 2022",['https://www.twitter.com/Gio4CA27'],https://ballotpedia.org/Giuliano_DePaolis
Jeff Hardenbrook,Democratic Party,Ohio,10,"May 3, 2022",[],https://ballotpedia.org/Jeff_Hardenbrook
Joe McDaniel,Republican Party,Texas,1,"March 1, 2022",['https://www.twitter.com/joemcd2'],https://ballotpedia.org/Joe_McDaniel
Patricia Kline,,New Jersey,1,"November 8, 2022",[],https://ballotpedia.org/Patricia_Kline
James Boyette,Republican Party,Montana,2,"June 7, 2022",[],https://ballotpedia.org/James_Boyette
Pamela Gordon,Republican Party,Oklahoma,2,"June 28, 2022",['https://www.twitter.com/VotePamGordon'],https://ballotpedia.org/Pamela_Gordon_(Oklahoma)
Pam Daniels,,New Jersey,4,"November 8, 2022",['https://www.twitter.com/PamRDaniels'],https://ballotpedia.org/Pam_Daniels
Victoria Virasingh,Democratic Party,Virginia,8,"June 21, 2022",['https://www.twitter.com/Victoria4VA'],https://ballotpedia.org/Victoria_Virasingh
Aaron Bashir,Republican Party,Pennsylvania,2,"May 16, 2023",[],https://ballotpedia.org/Aaron_Bashir
Army Murray,Republican Party,Oregon,1,"May 17, 2022",[],https://ballotpedia.org/Army_Murray
Peter Arianas,Republican Party,Florida,22,"August 23, 2022",['https://www.twitter.com/peter_arianas'],https://ballotpedia.org/Peter_Arianas
James Condit Jr.,Republican Party,Ohio,2,"May 3, 2022",['https://www.twitter.com/JimConditJr'],https://ballotpedia.org/James_Condit_Jr.
Yuripzy Morgan,Republican Party,Maryland,3,"November 8, 2022",['https://www.twitter.com/YMforcongress'],https://ballotpedia.org/Yuripzy_Morgan
Tom Spears,Independent,Washington,1,"August 2, 2022",[],https://ballotpedia.org/Tom_Spears
Jessica Wellington,Republican Party,Texas,8,"March 1, 2022",['https://www.twitter.com/jwellingtontx'],https://ballotpedia.org/Jessica_Wellington
Stephen Wright,Republican Party,Alaska,,"November 8, 2022",[],https://ballotpedia.org/Stephen_Wright_(Alaska)
Andrew Badger,Republican Party,Utah,1,"June 28, 2022",['https://www.twitter.com/BadgerforUtah'],https://ballotpedia.org/Andrew_Badger
Corinna Robinson,Democratic Party,Florida,21,"November 8, 2022",['https://www.twitter.com/CorinnaRobinson'],https://ballotpedia.org/Corinna_Robinson
Kevin Alan Wolff,Republican Party,North Carolina,13,"May 17, 2022",[],https://ballotpedia.org/Kevin_Alan_Wolff_(North_Carolina)
Donald Sternoff Beyer Jr.,Democratic Party,Virginia,8,"November 8, 2022","['https://www.twitter.com/RepDonBeyer', 'https://www.twitter.com/DonBeyerVA']",https://ballotpedia.org/Don_Beyer
Fasil Moghul,Democratic Party,Minnesota,4,"August 9, 2022",['https://www.twitter.com/FasilMoghul'],https://ballotpedia.org/Fasil_Moghul
John M. Woodman,Democratic Party,Missouri,7,"August 2, 2022",['https://www.twitter.com/johnmwoodman'],https://ballotpedia.org/John_M._Woodman
Brian Tyson,Republican Party,California,25,"June 7, 2022",[],https://ballotpedia.org/Brian_Tyson
Jo Anne Simon,Democratic Party,New York,10,"November 8, 2022",['https://www.twitter.com/JoAnneSimonBK52'],https://ballotpedia.org/Jo_Anne_Simon
Paul Nathan Taylor,Republican Party,California,26,"June 7, 2022",[],https://ballotpedia.org/Paul_Nathan_Taylor
Arturo Reyes,Republican Party,Hawaii,1,"August 13, 2022",[],https://ballotpedia.org/Arturo_Reyes
Steven Krystofiak,Republican Party,Arizona,2,"August 2, 2022",[],https://ballotpedia.org/Steven_Krystofiak
Christian Robertson,Democratic Party,Oregon,1,"May 17, 2022",[],https://ballotpedia.org/Christian_Robertson
Mark A. Neumann,Democratic Party,Wisconsin,3,"August 9, 2022",['https://www.twitter.com/DrMark_3rdCD_WI'],https://ballotpedia.org/Mark_Neumann_(Wisconsin_congressional_candidate)
Barry Wendell,Democratic Party,West Virginia,2,"November 8, 2022",['https://www.twitter.com/VoteforBarry'],https://ballotpedia.org/Barry_Wendell
Aaron Bean,Republican Party,Florida,4,"November 8, 2022",['https://www.twitter.com/RepAaronBean'],https://ballotpedia.org/Aaron_Bean
Jesse Brown,Republican Party,Massachusetts,9,"November 8, 2022",['https://www.twitter.com/JesseBrownMA'],https://ballotpedia.org/Jesse_Brown_(Massachusetts)
Eric Carlson,Republican Party,Illinois,1,"November 8, 2022",['https://www.twitter.com/EricCarlsonIL01'],https://ballotpedia.org/Eric_Carlson
Cathy McMorris Rodgers,Republican Party,Washington,5,"November 8, 2022","['https://www.twitter.com/cathymcmorris', 'https://www.twitter.com/teamcmr']",https://ballotpedia.org/Cathy_McMorris_Rodgers
Chip Roy,Republican Party,Texas,21,"November 8, 2022","['https://www.twitter.com/RepChipRoy', 'https://www.twitter.com/chiproytx']",https://ballotpedia.org/Chip_Roy
Andy Miranda,Republican Party,California,29,"June 7, 2022",['https://www.twitter.com/AndyforCa29'],https://ballotpedia.org/Andy_Miranda
Nikema Williams,Democratic Party,Georgia,5,"November 8, 2022","['https://www.twitter.com/RepNikema', 'https://www.twitter.com/NikemaWilliams', 'https://www.twitter.com/nikemawilliams']",https://ballotpedia.org/Nikema_Williams
Albert T. Ross,Democratic Party,Minnesota,5,"August 9, 2022",[],https://ballotpedia.org/Albert_T._Ross
Willie Vasquez Ng,Republican Party,Texas,28,"March 1, 2022",['https://www.twitter.com/WillieForTexas'],https://ballotpedia.org/Willie_Vasquez_Ng
Burgess Owens,Republican Party,Utah,4,"November 8, 2022","['https://www.twitter.com/RepBurgessOwens', 'https://www.twitter.com/BurgessOwens']",https://ballotpedia.org/Burgess_Owens
Joe Collins,Republican Party,California,36,"November 8, 2022",['https://www.twitter.com/joeecollins3'],https://ballotpedia.org/Joe_Collins_(California)
Mckayla Wilkes,Democratic Party,Maryland,5,"July 19, 2022",['https://www.twitter.com/MeetMckayla'],https://ballotpedia.org/Mckayla_Wilkes
Mayra Flores,Republican Party,Texas,34,"November 8, 2022",['https://www.twitter.com/MayraFlores2022'],https://ballotpedia.org/Mayra_Flores
Sab Skenderi,Republican Party,New Jersey,5,"June 7, 2022",[],https://ballotpedia.org/Sab_Skenderi
Elizabeth Heng,Republican Party,California,22,"June 7, 2022",['https://www.twitter.com/ElizabethHeng'],https://ballotpedia.org/Elizabeth_Heng
Caesar Gonzales,Republican Party,Georgia,13,"November 8, 2022",['https://www.twitter.com/Mechracer74'],https://ballotpedia.org/Caesar_Gonzales
Elissa Slotkin,Democratic Party,Michigan,7,"November 8, 2022",['https://www.twitter.com/RepSlotkin'],https://ballotpedia.org/Elissa_Slotkin
Bridget M. Fleming,Democratic Party,New York,1,"November 8, 2022",['https://www.twitter.com/bridgetmfleming'],https://ballotpedia.org/Bridget_M._Fleming
David Schweikert,Republican Party,Arizona,1,"November 8, 2022","['https://www.twitter.com/RepDavid', 'https://www.twitter.com/DavidSchweikert']",https://ballotpedia.org/David_Schweikert
Martin Hyde,Republican Party,Florida,16,"August 23, 2022",[],https://ballotpedia.org/Martin_Hyde
Douglas Deitch,Democratic Party,California,19,"June 7, 2022",['https://www.twitter.com/DouglasDeitch'],https://ballotpedia.org/Douglas_Deitch
Robert Menendez Jr.,Democratic Party,New Jersey,8,"November 8, 2022",['https://www.twitter.com/robmenendez4nj'],https://ballotpedia.org/Rob_Menendez_(New_Jersey)
Shahid Buttar,Democratic Party,California,11,"June 7, 2022","['https://www.twitter.com/shahidforchange', 'https://www.twitter.com/Sheeyahshee']",https://ballotpedia.org/Shahid_Buttar
Colin Allred,Democratic Party,Texas,32,"November 8, 2022","['https://www.twitter.com/RepColinAllred', 'https://www.twitter.com/ColinAllredTX']",https://ballotpedia.org/Colin_Allred
Brent Feher,Republican Party,Kentucky,2,"May 17, 2022",['https://www.twitter.com/BrentFeher'],https://ballotpedia.org/Brent_Feher
Michael Colombe,Democratic Party,Colorado,5,"June 28, 2022",['https://www.twitter.com/ColoradoCD5'],https://ballotpedia.org/Michael_Colombe
Andrew Phelps,Independent,Alaska,,"August 16, 2022",[],https://ballotpedia.org/Andrew_Phelps
Claire Ragge,Republican Party,California,36,"June 7, 2022",[],https://ballotpedia.org/Claire_Ragge
Ernest Reeves,Republican Party,North Carolina,1,"May 17, 2022",[],https://ballotpedia.org/Ernest_Reeves
Nathan Lewis,Independent,Texas,19,"November 8, 2022",['https://www.twitter.com/nlewis1111'],https://ballotpedia.org/Nathan_Lewis
Fadde Mikhail,Republican Party,California,26,"June 7, 2022",['https://www.twitter.com/FADDE'],https://ballotpedia.org/Fadde_Mikhail
Bill Condict,Republican Party,Texas,35,"March 1, 2022",[],https://ballotpedia.org/Bill_Condict
Douglas Alexander,Independent,Wisconsin,2,"November 8, 2022",['https://www.twitter.com/DouglasWI1957'],https://ballotpedia.org/Douglas_Alexander_(Wisconsin)
Laurel Lee,Republican Party,Florida,15,"November 8, 2022",['https://www.twitter.com/Vote_Laurel'],https://ballotpedia.org/Laurel_Lee
Joe Babb,Republican Party,Virginia,11,"May 7, 2022",['https://www.twitter.com/babbforcongress'],https://ballotpedia.org/Joe_Babb
Jerone Davison,Republican Party,Arizona,4,"August 2, 2022",['https://www.twitter.com/pastorjeronetv'],https://ballotpedia.org/Jerone_Davison
Jose Cortes,Peace and Freedom Party of California,California,51,"June 7, 2022",['https://www.twitter.com/cortes4congress'],https://ballotpedia.org/Jose_Cortes
Aaron Storer,Republican Party,Indiana,1,"May 3, 2022",[],https://ballotpedia.org/Aaron_Storer
Shamaine Daniels,Democratic Party,Pennsylvania,10,"November 2, 2021",['https://www.twitter.com/ShamaineDaniels'],https://ballotpedia.org/Shamaine_Daniels
Ryan Catala,Republican Party,Texas,12,"March 5, 2024",['https://www.twitter.com/ryanjcatala'],https://ballotpedia.org/Ryan_Catala
Mara Macie,Republican Party,Florida,5,"August 23, 2022",['https://www.twitter.com/MaraMacie'],https://ballotpedia.org/Mara_Macie
Matthew Lehman,Democratic Party,Kentucky,4,"November 8, 2022",['https://www.twitter.com/lehman4kentucky'],https://ballotpedia.org/Matthew_Lehman_(Kentucky)
Raven Harrison,Republican Party,Texas,26,"March 1, 2022",['https://www.twitter.com/raven4congress'],https://ballotpedia.org/Raven_Harrison
Jayme Stevenson,Republican Party,Connecticut,4,"November 8, 2022",['https://www.twitter.com/Jayme4Congress'],https://ballotpedia.org/Jayme_Stevenson
Gregory Kunkle Jr.,Republican Party,Texas,34,"March 1, 2022",['https://www.twitter.com/GregoryKunkleJr'],https://ballotpedia.org/Gregory_Kunkle_Jr.
Henry Williams,Republican Party,North Carolina,1,"May 17, 2022",[],https://ballotpedia.org/Henry_Williams_II
Scott Black,Republican Party,New Hampshire,2,"September 13, 2022",[],https://ballotpedia.org/Scott_Black_(New_Hampshire)
Ayanna Pressley,Democratic Party,Massachusetts,7,"November 8, 2022","['https://www.twitter.com/RepPressley', 'https://www.twitter.com/AyannaPressley']",https://ballotpedia.org/Ayanna_Pressley
Chris Bish,Republican Party,California,6,"June 7, 2022","['https://www.twitter.com/BishForCongress', 'https://www.twitter.com/ChrisBishRE']",https://ballotpedia.org/Chris_Bish
Tim Rogers,Republican Party,Wisconsin,4,"November 8, 2022",[],https://ballotpedia.org/Tim_Rogers_(Wisconsin)
Holly McCormack,Democratic Party,Georgia,14,"May 24, 2022",['https://www.twitter.com/Holly_4Congress'],https://ballotpedia.org/Holly_McCormack
Daniel Cobble,Independent,Kentucky,3,"November 8, 2022",[],https://ballotpedia.org/Daniel_Cobble
Andrew Harris,Republican Party,Maryland,1,"November 8, 2022","['https://www.twitter.com/RepAndyHarrisMD', 'https://www.twitter.com/Harris4Congress']",https://ballotpedia.org/Andrew_Harris
Brooke Taylor,Republican Party,Virginia,10,"May 21, 2022","['https://www.twitter.com/Brooke4Congress', 'https://www.twitter.com/doc__brooke']",https://ballotpedia.org/Brooke_Taylor
Craig Swartz,Democratic Party,Ohio,5,"November 8, 2022",[],https://ballotpedia.org/Craig_Swartz
Daniel Crenshaw,Republican Party,Texas,2,"November 8, 2022","['https://www.twitter.com/RepDanCrenshaw', 'https://www.twitter.com/DanCrenshawTX']",https://ballotpedia.org/Daniel_Crenshaw
Deliris Montanez Berrios,Democratic Party,Texas,16,"November 8, 2022",[],https://ballotpedia.org/Deliris_Montanez_Berrios
Derek Marshall,Democratic Party,California,23,"November 8, 2022",['https://www.twitter.com/DerekMarshallCA'],https://ballotpedia.org/Derek_Marshall
Michael Shure,Democratic Party,California,37,"June 7, 2022",['https://www.twitter.com/michaelshure'],https://ballotpedia.org/Michael_Shure
Jamaal Bowman,Democratic Party,New York,16,"November 8, 2022","['https://www.twitter.com/RepBowman', 'https://www.twitter.com/JamaalBowmanNY']",https://ballotpedia.org/Jamaal_Bowman
Dave Beckwith,Republican Party,Virginia,10,"May 21, 2022",['https://www.twitter.com/daveb4congress'],https://ballotpedia.org/Dave_Beckwith
Ryan Krause,Republican Party,Texas,15,"March 1, 2022",[],https://ballotpedia.org/Ryan_Krause
Ro Khanna,Democratic Party,California,17,"November 8, 2022","['https://www.twitter.com/RepRoKhanna', 'https://www.twitter.com/RoKhanna']",https://ballotpedia.org/Ro_Khanna
Tyler Kistner,Republican Party,Minnesota,2,"November 8, 2022","['https://www.twitter.com/KistnerCongress', 'https://www.twitter.com/tyler_kistner']",https://ballotpedia.org/Tyler_Kistner
George Gluck,Democratic Party,Maryland,6,"November 8, 2022",[],https://ballotpedia.org/George_Gluck
Jason Williams,Independent,Alaska,,"June 11, 2022",[],https://ballotpedia.org/Jason_Williams_(Alaska)
Amy Vilela,Democratic Party,Nevada,1,"June 14, 2022",['https://www.twitter.com/amy4thepeople'],https://ballotpedia.org/Amy_Vilela
Arthur Dixon,Democratic Party,Texas,30,"March 1, 2022",['https://www.twitter.com/ArthurDixonTX'],https://ballotpedia.org/Arthur_Dixon
Gary Leffler,Republican Party,Iowa,3,"June 7, 2022",['https://www.twitter.com/LefflerCongress'],https://ballotpedia.org/Gary_Leffler
Ben Sorensen,Democratic Party,Florida,23,"August 23, 2022",['https://www.twitter.com/bensorensen'],https://ballotpedia.org/Benjamin_Samuel_Sorensen
Kevin Eckert,Democratic Party,South Carolina,5,"June 14, 2022",['https://www.twitter.com/KevinCongressSC'],https://ballotpedia.org/Kevin_Eckert
James Comer Jr.,Republican Party,Kentucky,1,"November 8, 2022","['https://www.twitter.com/RepJamesComer', 'https://www.twitter.com/JamesComer']",https://ballotpedia.org/James_Comer_Jr.
Jeff Jackson,Democratic Party,North_Carolina,14,"November 8, 2022","['https://www.twitter.com/RepJeffJackson', 'https://www.twitter.com/JeffJacksonNC']",https://ballotpedia.org/Jeff_Jackson
May Lor Xiong,Republican Party,Minnesota,4,"November 8, 2022",['https://www.twitter.com/xiongmay'],https://ballotpedia.org/May_Lor_Xiong
