fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,party_simple,key,twitter_name,ballotpedia,bioguide_id,twitter_id
H2OH07258,"ALEXANDER, ANTHONY LEON",OH,07,REPUBLICAN PARTY,House,Open seat,N,Republican,anthony  alexander,Anthony4congres,https://ballotpedia.org/Anthony_Leon_Alexander,NA,
H2WI02199,"ALEXANDER, DOUGLAS",WI,02,INDEPENDENT,House,Challenger,N,Other,douglas  alexander,DouglasWI1957,https://ballotpedia.org/Douglas_Alexander_(Wisconsin),NA,
H2OH11300,"ALEXANDER, MARTIN",OH,06,DEMOCRATIC PARTY,House,Challenger,N,Democrat,martin  alexander,NA,https://ballotpedia.org/Martin_Alexander,NA,
H2MO07127,"ALEXANDER, SAM DR",MO,07,REPUBLICAN PARTY,House,Open seat,C,Republican,sam  alexander,NA,https://ballotpedia.org/Sam_Alexander_(Missouri),NA,
H2NJ02193,"ALEXANDER, TIMOTHY C",NJ,02,DEMOCRATIC PARTY,House,Challenger,P,Democrat,timothy  alexander,talexander_NJ02,https://ballotpedia.org/Tim_Alexander,NA,
H2MI04260,"ALFONSO, JOSEPH",MI,04,DEMOCRATIC PARTY,House,Challenger,N,Democrat,joseph  alfonso,AlfonsoforMI4,https://ballotpedia.org/Joseph_Alfonso,NA,
H2MO04207,"ALFORD, MARK",MO,04,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  alford,RepMarkAlford,https://ballotpedia.org/Mark_Alford,A000379,
H2MO04207,"ALFORD, MARK",MO,04,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  alford,markalfordkc,https://ballotpedia.org/Mark_Alford,A000379,
H2NC06098,"ALLAM, NIDA",NC,04,DEMOCRATIC PARTY,House,Challenger,P,Democrat,nida  allam,NidaAllam,https://ballotpedia.org/Nida_Allam,NA,
H2CO08103,"ALLCORN, TYLER",CO,08,REPUBLICAN PARTY,House,Open seat,C,Republican,tyler  allcorn,allcorn4co,https://ballotpedia.org/Tyler_Allcorn,NA,
H2IN07195,"ALLEN, BILL",IN,07,REPUBLICAN PARTY,House,Challenger,C,Republican,bill  allen,NA,https://ballotpedia.org/Bill_Allen_(Indiana),NA,
H4CA24175,"ALLEN, BRAD DR",CA,24,REPUBLICAN PARTY,House,Challenger,N,Republican,brad  allen,NA,https://ballotpedia.org/Brad_Allen_(California),NA,
H2CA24229,"ALLEN, BRAD DR.",CA,24,REPUBLICAN PARTY,House,Challenger,P,Republican,brad  allen,NA,https://ballotpedia.org/Brad_Allen_(California),NA,
H2PA10108,"ALLEN, BRIAN",PA,10,REPUBLICAN PARTY,House,Challenger,P,Republican,brian  allen,NA,NA,NA,
H2IL17105,"ALLEN, COREY",IL,17,REPUBLICAN PARTY,House,Open seat,N,Republican,corey  allen,NA,NA,NA,
H2SC07256,"ALLEN, GRAHAM",SC,07,REPUBLICAN PARTY,House,Challenger,C,Republican,graham  allen,NA,NA,NA,
H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  allen,RepRickAllen,https://ballotpedia.org/Rick_Allen,A000372,2964287128
H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  allen,rickallen,https://ballotpedia.org/Rick_Allen,A000372,2964287128
H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  allen,RepRickAllen,https://ballotpedia.org/Rick_Allen,A000372,2147483647
H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  allen,rickallen,https://ballotpedia.org/Rick_Allen,A000372,2147483647
H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  allen,RepRickAllen,https://ballotpedia.org/Rick_Allen,A000372,385111151
H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  allen,rickallen,https://ballotpedia.org/Rick_Allen,A000372,385111151
H2SC01093,"ALLEN, THOMAS JASON",SC,01,REPUBLICAN PARTY,House,Challenger,N,Republican,thomas  allen,NA,NA,NA,
H2TN06154,"ALLEY, JOSH",TN,06,INDEPENDENT,House,Challenger,N,Other,josh  alley,NA,NA,NA,
H2MD04364,"ALLISON, TAMMY",MD,04,DEMOCRATIC PARTY,House,Open seat,N,Democrat,tammy  allison,NA,https://ballotpedia.org/Tammy_Allison_(Texas),NA,
H8TX32098,"ALLRED, COLIN",TX,32,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,colin  allred,RepColinAllred,https://ballotpedia.org/Colin_Allred,A000376,1078355119920562176
H8TX32098,"ALLRED, COLIN",TX,32,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,colin  allred,ColinAllredTX,https://ballotpedia.org/Colin_Allred,A000376,1078355119920562176
H8TX32098,"ALLRED, COLIN",TX,32,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,colin  allred,RepColinAllred,https://ballotpedia.org/Colin_Allred,A000376,346964561
H8TX32098,"ALLRED, COLIN",TX,32,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,colin  allred,ColinAllredTX,https://ballotpedia.org/Colin_Allred,A000376,346964561
H0GA03074,"ALMONORD, VALBRUN DR.",GA,03,DEMOCRATIC PARTY,House,Challenger,P,Democrat,valbrun  almonord,valforcongress3,https://ballotpedia.org/Val_Almonord,NA,
H2FL23120,"ALMONTE, MELINDA",FL,24,REPUBLICAN PARTY,House,Challenger,C,Republican,melinda  almonte,NA,NA,NA,
H2OR06108,"ALONSO LEON, TERESA",OR,06,DEMOCRATIC PARTY,House,Open seat,P,Democrat,teresa  leon,Teresa4Oregon,https://ballotpedia.org/Teresa_Alonso_Leon,NA,
H2OR06108,"ALONSO LEON, TERESA",OR,06,DEMOCRATIC PARTY,House,Open seat,P,Democrat,teresa  leon,alonsonhli_leon,https://ballotpedia.org/Teresa_Alonso_Leon,NA,
H8IN09131,"ALSPACH, JAMES DEAN",IN,06,REPUBLICAN PARTY,House,Challenger,N,Republican,james  alspach,NA,https://ballotpedia.org/James_Dean_Alspach,NA,
H2VA02072,"ALTMAN, LARRY THOMAS III",VA,02,REPUBLICAN PARTY,House,Challenger,C,Republican,larry  altman,tommyaltman,https://ballotpedia.org/Tommy_Altman,NA,
H2TX15146,"ALVARADO, ELIZA DR.",TX,15,DEMOCRATIC PARTY,House,Challenger,C,Democrat,eliza  alvarado,NA,https://ballotpedia.org/Eliza_Alvarado,NA,
H2TX22134,"ALVAREZ, ANDREW RUBEN",TX,09,REPUBLICAN PARTY,House,Challenger,N,Republican,andrew  alvarez,NA,NA,NA,
H2GA10174,"ALVEY, ANDREW",GA,10,REPUBLICAN PARTY,House,Open seat,N,Republican,andrew  alvey,NA,NA,NA,
H4AS00036,"AMATA, AUMUA",AS,00,REPUBLICAN PARTY,House,Incumbent,C,Republican,aumua  amata,NA,NA,R000600,3026622545
H2CA23148,"AMATO, BRUNO",CA,23,DEMOCRATIC PARTY,House,Challenger,C,Democrat,bruno  amato,NA,NA,NA,
H2AK00556,"AMBROSE, DAVID",AK,00,WRITE-IN,House,Challenger,N,Other,david  ambrose,NA,https://ballotpedia.org/David_Ambrose,NA,
H2MI11265,"AMBROSE, MARK",MI,11,REPUBLICAN PARTY,House,Challenger,P,Republican,mark  ambrose,VoteMarkAmbrose,https://ballotpedia.org/Mark_Ambrose,NA,
H2MD02368,"AMBROSE, NICOLEE",MD,02,REPUBLICAN PARTY,House,Challenger,P,Republican,nicolee  ambrose,NicoleeAmbrose,https://ballotpedia.org/Nicolee_Ambrose,NA,
H0ME01127,"AMEDE, AARON",ME,01,DEMOCRATIC PARTY,House,Challenger,N,Democrat,aaron  amede,NA,NA,NA,
H2OH03208,"AMICUCCI, ALEXANDER Q.",OH,03,WRITE-IN,House,Challenger,N,Other,alexander  amicucci,NA,NA,NA,
H2NV02395,"AMODEI, MARK EUGENE",NV,02,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  amodei,markamodeinv2,https://ballotpedia.org/Mark_Amodei,NA,85689484
H2NV02395,"AMODEI, MARK EUGENE",NV,02,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  amodei,AmodeiForNevada,https://ballotpedia.org/Mark_Amodei,NA,85689484
H2NV02395,"AMODEI, MARK EUGENE",NV,02,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  amodei,markamodeinv2,https://ballotpedia.org/Mark_Amodei,NA,402719755
H2NV02395,"AMODEI, MARK EUGENE",NV,02,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  amodei,AmodeiForNevada,https://ballotpedia.org/Mark_Amodei,NA,402719755
H0VA11127,"ANANTATMULA, MANGA",VA,11,REPUBLICAN PARTY,House,Challenger,C,Republican,manga  anantatmula,Manga4Congress,https://ballotpedia.org/Manga_Anantatmula,NA,
H2MO02169,"ANDERS, BOB",MO,02,INDEPENDENT,House,Challenger,N,Other,bob  anders,NA,NA,NA,
H2CO07196,"ANDERSEN, CARL E",CO,07,REPUBLICAN PARTY,House,Open seat,C,Republican,carl  andersen,NA,NA,NA,
H2AZ06312,"ANDERSON, BYRON AVERY",AZ,06,DEMOCRATIC PARTY,House,Challenger,N,Democrat,byron  anderson,NA,https://ballotpedia.org/Avery_Anderson_(Arizona),NA,
H2WA09172,"ANDERSON, DAVID",WA,09,INDEPENDENT,House,Challenger,N,Other,david  anderson,NA,https://ballotpedia.org/David_Michael_Anderson_(Washington_congressional_candidate),NA,
H2WA09206,"ANDERSON, DAVID",WA,09,INDEPENDENT,House,Challenger,N,Other,david  anderson,NA,https://ballotpedia.org/David_Michael_Anderson_(Washington_congressional_candidate),NA,
H2TX35102,"ANDERSON, DAVID LEE JR",TX,21,DEMOCRATIC PARTY,House,Challenger,P,Democrat,david  anderson,DLAndersonJrTX,https://ballotpedia.org/David_Anderson_(Texas_congressional_candidate),NA,
H2VA07170,"ANDERSON, DERRICK",VA,07,REPUBLICAN PARTY,House,Challenger,P,Republican,derrick  anderson,DerrickforVA,https://ballotpedia.org/Derrick_Anderson,NA,
H2FL20316,"ANDERSON, DWIGHT A MR",FL,20,DEMOCRATIC PARTY,House,Open seat,N,Democrat,dwight  anderson,NA,NA,NA,
H2VA01108,"ANDERSON, JESSICA",VA,01,DEMOCRATIC PARTY,House,,N,Democrat,jessica  anderson,NA,NA,NA,
H0OH07104,"ANDERSON, JOHN DAVID",OH,06,REPUBLICAN PARTY,House,Challenger,N,Republican,john  anderson,NA,https://ballotpedia.org/John_Anderson_(Ohio),NA,
H2AL02158,"ANDERSON, TERRELL",AL,02,DEMOCRATIC PARTY,House,Challenger,N,Democrat,terrell  anderson,NA,NA,NA,
H2NJ11228,"ANDERSON, TOBY",NJ,11,REPUBLICAN PARTY,House,Challenger,P,Republican,toby  anderson,TobyAndersonNJ,https://ballotpedia.org/Toby_Anderson_(New_Jersey),NA,
H2MN01314,"ANDERSON, WARREN LEE",MN,01,DEMOCRATIC-FARMER-LABOR,House,Challenger,N,Other,warren  anderson,NA,NA,NA,
H2SC01127,"ANDREWS, ANNIE DR.",SC,01,DEMOCRATIC PARTY,House,Challenger,P,Democrat,annie  andrews,AnnieAndrewsMD,https://ballotpedia.org/Annie_Andrews,NA,
H2KY05193,"ANDREWS, JEANETTE",KY,05,REPUBLICAN PARTY,House,Challenger,N,Republican,jeanette  andrews,JAndrews1stGen,https://ballotpedia.org/Jeannette_Andrews,NA,
H2CA09162,"ANDREWS, MARK T",CA,09,NO PARTY PREFERENCE,House,Open seat,N,Other,mark  andrews,NA,https://ballotpedia.org/Mark_Andrews_(California),NA,
H2OK02307,"ANDREWS, NAOMI",OK,02,DEMOCRATIC PARTY,House,Open seat,P,Democrat,naomi  andrews,NaomiForOK,https://ballotpedia.org/Naomi_Andrews_(Oklahoma),NA,
H2NC09217,"ANDRIANI, MICHAEL",NC,09,REPUBLICAN PARTY,House,Challenger,N,Republican,michael  andriani,VoteAndriani,https://ballotpedia.org/Mike_Andriani,NA,
H2NC13227,"ANERALLA, JOHN",NC,13,REPUBLICAN PARTY,House,Open seat,P,Republican,john  aneralla,NA,NA,NA,
H2MD04349,"ANGEL, ANGELA",MD,04,DEMOCRATIC PARTY,House,Open seat,P,Democrat,angela  angel,Angel4Dist25,https://ballotpedia.org/Angela_Angel,NA,
H2MD04349,"ANGEL, ANGELA",MD,04,DEMOCRATIC PARTY,House,Open seat,P,Democrat,angela  angel,thepoliticchic,https://ballotpedia.org/Angela_Angel,NA,
H2CA38252,"ANI, SYLVESTER UGONNA JR.",CA,38,DEMOCRATIC PARTY,House,Challenger,C,Democrat,sylvester  ani,NA,NA,NA,
H2FL09251,"ANTHONY, MARLIN DANIEL",FL,09,REPUBLICAN PARTY,House,Challenger,C,Republican,marlin  anthony,NA,NA,NA,
H2NJ06244,"ANTISELL, ERIC",NJ,06,OTHER,House,Challenger,N,Other,eric  antisell,NA,NA,NA,
H2TX14214,"ANTONELLI, JEFF",TX,14,DEMOCRATIC PARTY,House,Challenger,P,Democrat,jeff  antonelli,NA,NA,NA,
H2NY01141,"ANTONUCCI, NICHOLAS",NY,01,DEMOCRATIC PARTY,House,Open seat,P,Democrat,nicholas  antonucci,NA,NA,NA,
H0FL19163,"AQUINO, DARREN DIONE MR.",FL,25,REPUBLICAN PARTY,House,Challenger,P,Republican,darren  aquino,NA,NA,NA,
H2TX35185,"ARAGONA, JENAI",TX,35,REPUBLICAN PARTY,House,Challenger,P,Republican,jenai  aragona,jenaih,https://ballotpedia.org/Jenai_Aragona-Hales,NA,
H0CA22102,"ARBALLO, PHIL",CA,13,DEMOCRATIC PARTY,House,Challenger,C,Democrat,phil  arballo,NA,https://ballotpedia.org/Phil_Arballo,NA,
H0IA01174,"ARENHOLZ, ASHLEY HINSON",IA,02,REPUBLICAN PARTY,House,Incumbent,C,Republican,ashley  arenholz,NA,NA,H001091,1340783304304410624
H0IA01174,"ARENHOLZ, ASHLEY HINSON",IA,02,REPUBLICAN PARTY,House,Incumbent,C,Republican,ashley  arenholz,NA,NA,H001091,18189966
H2KY38012,"ARGYLE, MARK MR",KY,38,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,mark  argyle,NA,NA,NA,
H2FL21140,"ARIANAS, PETER STEVEN",FL,22,REPUBLICAN PARTY,House,Challenger,P,Republican,peter  arianas,peter_arianas,https://ballotpedia.org/Peter_Arianas,NA,
H0TX16106,"ARMENDARIZ-JACKSON, IRENE",TX,16,REPUBLICAN PARTY,House,Challenger,P,Republican,irene  armendarizjackson,ArmendarizDis16,https://ballotpedia.org/Irene_Armendariz-Jackson,NA,
H0TX16106,"ARMENDARIZ-JACKSON, IRENE",TX,16,REPUBLICAN PARTY,House,Challenger,P,Republican,irene  armendarizjackson,amazingurl09,https://ballotpedia.org/Irene_Armendariz-Jackson,NA,
H2AK00267,"ARMSTRONG, JAY R",AK,00,WRITE-IN,House,Open seat,N,Other,jay  armstrong,NA,NA,NA,
H8ND00096,"ARMSTRONG, KELLY",ND,00,REPUBLICAN PARTY,House,Incumbent,C,Republican,kelly  armstrong,RepArmstrongND,https://ballotpedia.org/Kelly_Armstrong_(North_Dakota),A000377,1080515866255593472
H8ND00096,"ARMSTRONG, KELLY",ND,00,REPUBLICAN PARTY,House,Incumbent,C,Republican,kelly  armstrong,Armstrong_ND,https://ballotpedia.org/Kelly_Armstrong_(North_Dakota),A000377,1080515866255593472
H8ND00096,"ARMSTRONG, KELLY",ND,00,REPUBLICAN PARTY,House,Incumbent,C,Republican,kelly  armstrong,armstrong_km,https://ballotpedia.org/Kelly_Armstrong_(North_Dakota),A000377,1080515866255593472
H8ND00096,"ARMSTRONG, KELLY",ND,00,REPUBLICAN PARTY,House,Incumbent,C,Republican,kelly  armstrong,RepArmstrongND,https://ballotpedia.org/Kelly_Armstrong_(North_Dakota),A000377,964996994623311872
H8ND00096,"ARMSTRONG, KELLY",ND,00,REPUBLICAN PARTY,House,Incumbent,C,Republican,kelly  armstrong,Armstrong_ND,https://ballotpedia.org/Kelly_Armstrong_(North_Dakota),A000377,964996994623311872
H8ND00096,"ARMSTRONG, KELLY",ND,00,REPUBLICAN PARTY,House,Incumbent,C,Republican,kelly  armstrong,armstrong_km,https://ballotpedia.org/Kelly_Armstrong_(North_Dakota),A000377,964996994623311872
H2NJ09149,"ARMSTRONG, SEAN ARMSTRONG",NJ,09,LIBERTARIAN PARTY,House,Challenger,N,Other,sean  armstrong,sarmcast,https://ballotpedia.org/Sean_Armstrong_(New_Jersey),NA,
