,fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,party_simple,key,ballotpedia,bioguide_id,twitter_name,twitter_id,twitter_status_tweet,twitter_status_name,twitter_status_id
57,H0HI02213,"AKANA, JOSEPH",HI,2,REPUBLICAN PARTY,House,Challenger,P,Republican,joseph  akana,https://ballotpedia.org/Joseph_Akana,,Joe_Akana,1271014376556777472,,,
58,H2NY05118,"AKHLAGHY, NADER",NY,5,PEACE AND FREEDOM PARTY,House,Challenger,N,Other,nader  akhlaghy,,,,,,,
60,H2OR04152,"AL-ABDRABBUH, SAMI",OR,4,DEMOCRATIC PARTY,House,Open seat,P,Democrat,sami  alabdrabbuh,https://ballotpedia.org/Sami_Al-Abdrabbuh,,SamiOregon,16537540,,,
61,H2FL11166,"ALCANTARA, CHRISTOPHER MANUEL",FL,11,NO PARTY AFFILIATION,House,Challenger,N,Other,christopher  alcantara,,,,,,,
63,H6NH02089,"ALCIERE, TOM",NH,1,REPUBLICAN PARTY,House,Challenger,N,Republican,tom  alciere,https://ballotpedia.org/Tom_Alciere,,TomAlciere,2249483546,,,
64,H2AL01200,"ALCORN, PETER DAVID",AL,1,REPUBLICAN PARTY,House,Challenger,N,Republican,peter  alcorn,,,,,,,
66,H2HI01112,"ALCUBILLA, SERGIO JOSEPHUS MR. III",HI,1,DEMOCRATIC PARTY,House,Challenger,P,Democrat,sergio  alcubilla,https://ballotpedia.org/Sergio_Alcubilla,,sergio4hawaii,1410842502039412745,,,
67,H2OH07258,"ALEXANDER, ANTHONY LEON",OH,7,REPUBLICAN PARTY,House,Open seat,N,Republican,anthony  alexander,https://ballotpedia.org/Anthony_Leon_Alexander,,Anthony4congres,1509155482522595333,No tweets found.,,
70,H2WI02199,"ALEXANDER, DOUGLAS",WI,2,INDEPENDENT,House,Challenger,N,Other,douglas  alexander,https://ballotpedia.org/Douglas_Alexander_(Wisconsin),,DouglasWI1957,2730874525,,,
71,H2OH11300,"ALEXANDER, MARTIN",OH,6,DEMOCRATIC PARTY,House,Challenger,N,Democrat,martin  alexander,https://ballotpedia.org/Martin_Alexander,,,,,,
72,H2MO07127,"ALEXANDER, SAM DR",MO,7,REPUBLICAN PARTY,House,Open seat,C,Republican,sam  alexander,https://ballotpedia.org/Sam_Alexander_(Missouri),,,,,,
74,H2NJ02193,"ALEXANDER, TIMOTHY C",NJ,2,DEMOCRATIC PARTY,House,Challenger,P,Democrat,timothy  alexander,https://ballotpedia.org/Tim_Alexander,,talexander_NJ02,1368693584397033484,,,
76,H2MI04260,"ALFONSO, JOSEPH",MI,4,DEMOCRATIC PARTY,House,Challenger,N,Democrat,joseph  alfonso,https://ballotpedia.org/Joseph_Alfonso,,AlfonsoforMI4,1256761233367281666,,,
77,H2MO04207,"ALFORD, MARK",MO,4,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  alford,https://ballotpedia.org/Mark_Alford,A000379,RepMarkAlford,1612483604071727104,,,
79,H2MO04207,"ALFORD, MARK",MO,4,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  alford,https://ballotpedia.org/Mark_Alford,A000379,markalfordkc,704689629,,,
81,H2NC06098,"ALLAM, NIDA",NC,4,DEMOCRATIC PARTY,House,Challenger,P,Democrat,nida  allam,https://ballotpedia.org/Nida_Allam,,NidaAllam,97753971,,,
82,H2CO08103,"ALLCORN, TYLER",CO,8,REPUBLICAN PARTY,House,Open seat,C,Republican,tyler  allcorn,https://ballotpedia.org/Tyler_Allcorn,,allcorn4co,1476205164902113280,,,
84,H2IN07195,"ALLEN, BILL",IN,7,REPUBLICAN PARTY,House,Challenger,C,Republican,bill  allen,https://ballotpedia.org/Bill_Allen_(Indiana),,,,,,
85,H4CA24175,"ALLEN, BRAD DR",CA,24,REPUBLICAN PARTY,House,Challenger,N,Republican,brad  allen,https://ballotpedia.org/Brad_Allen_(California),,,,,,
86,H2CA24229,"ALLEN, BRAD DR.",CA,24,REPUBLICAN PARTY,House,Challenger,P,Republican,brad  allen,https://ballotpedia.org/Brad_Allen_(California),,,,,,
87,H2PA10108,"ALLEN, BRIAN",PA,10,REPUBLICAN PARTY,House,Challenger,P,Republican,brian  allen,,,,,,,
88,H2IL17105,"ALLEN, COREY",IL,17,REPUBLICAN PARTY,House,Open seat,N,Republican,corey  allen,,,,,,,
89,H2SC07256,"ALLEN, GRAHAM",SC,7,REPUBLICAN PARTY,House,Challenger,C,Republican,graham  allen,,,,,,,
90,H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  allen,https://ballotpedia.org/Rick_Allen,A000372,RepRickAllen,2964287128,,,
91,H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  allen,https://ballotpedia.org/Rick_Allen,A000372,rickallen,385111151,,,
93,H2SC01093,"ALLEN, THOMAS JASON",SC,1,REPUBLICAN PARTY,House,Challenger,N,Republican,thomas  allen,,,,,,,
94,H2TN06154,"ALLEY, JOSH",TN,6,INDEPENDENT,House,Challenger,N,Other,josh  alley,,,,,,,
95,H2MD04364,"ALLISON, TAMMY",MD,4,DEMOCRATIC PARTY,House,Open seat,N,Democrat,tammy  allison,https://ballotpedia.org/Tammy_Allison_(Texas),,,,,,
96,H8TX32098,"ALLRED, COLIN",TX,32,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,colin  allred,https://ballotpedia.org/Colin_Allred,A000376,RepColinAllred,1078355119920562176,,,
97,H8TX32098,"ALLRED, COLIN",TX,32,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,colin  allred,https://ballotpedia.org/Colin_Allred,A000376,ColinAllredTX,346964561,,,
100,H0GA03074,"ALMONORD, VALBRUN DR.",GA,3,DEMOCRATIC PARTY,House,Challenger,P,Democrat,valbrun  almonord,https://ballotpedia.org/Val_Almonord,,valforcongress3,1248605771170013184,,,
101,H2FL23120,"ALMONTE, MELINDA",FL,24,REPUBLICAN PARTY,House,Challenger,C,Republican,melinda  almonte,,,,,,,
102,H2OR06108,"ALONSO LEON, TERESA",OR,6,DEMOCRATIC PARTY,House,Open seat,P,Democrat,teresa  leon,https://ballotpedia.org/Teresa_Alonso_Leon,,alonsonhli_leon,3335776391,,,
104,H2OR06108,"ALONSO LEON, TERESA",OR,6,DEMOCRATIC PARTY,House,Open seat,P,Democrat,teresa  leon,https://ballotpedia.org/Teresa_Alonso_Leon,,Teresa4Oregon,1483900403649433602,,,
105,H8IN09131,"ALSPACH, JAMES DEAN",IN,6,REPUBLICAN PARTY,House,Challenger,N,Republican,james  alspach,https://ballotpedia.org/James_Dean_Alspach,,,,,,
107,H2VA02072,"ALTMAN, LARRY THOMAS III",VA,2,REPUBLICAN PARTY,House,Challenger,C,Republican,larry  altman,https://ballotpedia.org/Tommy_Altman,,tommyaltman,19691167,No tweets found.,,
108,H2TX15146,"ALVARADO, ELIZA DR.",TX,15,DEMOCRATIC PARTY,House,Challenger,C,Democrat,eliza  alvarado,https://ballotpedia.org/Eliza_Alvarado,,,,,,
109,H2TX22134,"ALVAREZ, ANDREW RUBEN",TX,9,REPUBLICAN PARTY,House,Challenger,N,Republican,andrew  alvarez,,,,,,,
110,H2GA10174,"ALVEY, ANDREW",GA,10,REPUBLICAN PARTY,House,Open seat,N,Republican,andrew  alvey,,,,,,,
111,H4AS00036,"AMATA, AUMUA",AS,0,REPUBLICAN PARTY,House,Incumbent,C,Republican,aumua  amata,,R000600,RepAmata,3026622545,,,
113,H2CA23148,"AMATO, BRUNO",CA,23,DEMOCRATIC PARTY,House,Challenger,C,Democrat,bruno  amato,,,,,,,
114,H2AK00556,"AMBROSE, DAVID",AK,0,WRITE-IN,House,Challenger,N,Other,david  ambrose,https://ballotpedia.org/David_Ambrose,,,,,,
115,H2MI11265,"AMBROSE, MARK",MI,11,REPUBLICAN PARTY,House,Challenger,P,Republican,mark  ambrose,https://ballotpedia.org/Mark_Ambrose,,VoteMarkAmbrose,1519298660160442368,No tweets found.,,
118,H2MD02368,"AMBROSE, NICOLEE",MD,2,REPUBLICAN PARTY,House,Challenger,P,Republican,nicolee  ambrose,https://ballotpedia.org/Nicolee_Ambrose,,NicoleeAmbrose,1210009123,,,
119,H0ME01127,"AMEDE, AARON",ME,1,DEMOCRATIC PARTY,House,Challenger,N,Democrat,aaron  amede,,,,,,,
120,H2OH03208,"AMICUCCI, ALEXANDER Q.",OH,3,WRITE-IN,House,Challenger,N,Other,alexander  amicucci,,,,,,,
121,H2NV02395,"AMODEI, MARK EUGENE",NV,2,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  amodei,https://ballotpedia.org/Mark_Amodei,,MarkAmodeiNV2,402719755,,,
122,H2NV02395,"AMODEI, MARK EUGENE",NV,2,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  amodei,https://ballotpedia.org/Mark_Amodei,,markamodeinv2,402719755,No tweets found.,,
123,H2NV02395,"AMODEI, MARK EUGENE",NV,2,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  amodei,https://ballotpedia.org/Mark_Amodei,,AmodeiForNevada,85689484,,,
125,H0VA11127,"ANANTATMULA, MANGA",VA,11,REPUBLICAN PARTY,House,Challenger,C,Republican,manga  anantatmula,https://ballotpedia.org/Manga_Anantatmula,,Manga4Congress,1174445643559067648,,,
126,H2MO02169,"ANDERS, BOB",MO,2,INDEPENDENT,House,Challenger,N,Other,bob  anders,,,,,,,
127,H2CO07196,"ANDERSEN, CARL E",CO,7,REPUBLICAN PARTY,House,Open seat,C,Republican,carl  andersen,,,,,,,
128,H2AZ06312,"ANDERSON, BYRON AVERY",AZ,6,DEMOCRATIC PARTY,House,Challenger,N,Democrat,byron  anderson,https://ballotpedia.org/Avery_Anderson_(Arizona),,,,,,
129,H2WA09172,"ANDERSON, DAVID",WA,9,INDEPENDENT,House,Challenger,N,Other,david  anderson,https://ballotpedia.org/David_Michael_Anderson_(Washington_congressional_candidate),,,,,,
130,H2WA09206,"ANDERSON, DAVID",WA,9,INDEPENDENT,House,Challenger,N,Other,david  anderson,https://ballotpedia.org/David_Michael_Anderson_(Washington_congressional_candidate),,,,,,
132,H2TX35102,"ANDERSON, DAVID LEE JR",TX,21,DEMOCRATIC PARTY,House,Challenger,P,Democrat,david  anderson,https://ballotpedia.org/David_Anderson_(Texas_congressional_candidate),,DLAndersonJrTX,1347277691062345728,,,
133,H2VA07170,"ANDERSON, DERRICK",VA,7,REPUBLICAN PARTY,House,Challenger,P,Republican,derrick  anderson,https://ballotpedia.org/Derrick_Anderson,,DerrickforVA,1205985145007878145,,,
135,H2FL20316,"ANDERSON, DWIGHT A MR",FL,20,DEMOCRATIC PARTY,House,Open seat,N,Democrat,dwight  anderson,,,,,,,
136,H2VA01108,"ANDERSON, JESSICA",VA,1,DEMOCRATIC PARTY,House,,N,Democrat,jessica  anderson,,,,,,,
137,H0OH07104,"ANDERSON, JOHN DAVID",OH,6,REPUBLICAN PARTY,House,Challenger,N,Republican,john  anderson,https://ballotpedia.org/John_Anderson_(Ohio),,,,,,
138,H2AL02158,"ANDERSON, TERRELL",AL,2,DEMOCRATIC PARTY,House,Challenger,N,Democrat,terrell  anderson,,,,,,,
140,H2NJ11228,"ANDERSON, TOBY",NJ,11,REPUBLICAN PARTY,House,Challenger,P,Republican,toby  anderson,https://ballotpedia.org/Toby_Anderson_(New_Jersey),,TobyAndersonNJ,1481260462343798786,,,
141,H2MN01314,"ANDERSON, WARREN LEE",MN,1,DEMOCRATIC-FARMER-LABOR,House,Challenger,N,Other,warren  anderson,,,,,,,
143,H2SC01127,"ANDREWS, ANNIE DR.",SC,1,DEMOCRATIC PARTY,House,Challenger,P,Democrat,annie  andrews,https://ballotpedia.org/Annie_Andrews,,AnnieAndrewsMD,3698187494,,,
145,H2KY05193,"ANDREWS, JEANETTE",KY,5,REPUBLICAN PARTY,House,Challenger,N,Republican,jeanette  andrews,https://ballotpedia.org/Jeannette_Andrews,,JAndrews1stGen,75962375,,,
146,H2CA09162,"ANDREWS, MARK T",CA,9,NO PARTY PREFERENCE,House,Open seat,N,Other,mark  andrews,https://ballotpedia.org/Mark_Andrews_(California),,,,,,
147,H2OK02307,"ANDREWS, NAOMI",OK,2,DEMOCRATIC PARTY,House,Open seat,P,Democrat,naomi  andrews,https://ballotpedia.org/Naomi_Andrews_(Oklahoma),,NaomiForOK,1516959960269271042,,,
150,H2NC09217,"ANDRIANI, MICHAEL",NC,9,REPUBLICAN PARTY,House,Challenger,N,Republican,michael  andriani,https://ballotpedia.org/Mike_Andriani,,VoteAndriani,1508512828235341825,,,
151,H2NC13227,"ANERALLA, JOHN",NC,13,REPUBLICAN PARTY,House,Open seat,P,Republican,john  aneralla,,,,,,,
152,H2MD04349,"ANGEL, ANGELA",MD,4,DEMOCRATIC PARTY,House,Open seat,P,Democrat,angela  angel,https://ballotpedia.org/Angela_Angel,,thepoliticchic,33260677,No tweets found.,,
153,H2MD04349,"ANGEL, ANGELA",MD,4,DEMOCRATIC PARTY,House,Open seat,P,Democrat,angela  angel,https://ballotpedia.org/Angela_Angel,,Angel4Dist25,2289221126,,,
155,H2CA38252,"ANI, SYLVESTER UGONNA JR.",CA,38,DEMOCRATIC PARTY,House,Challenger,C,Democrat,sylvester  ani,,,,,,,
156,H2FL09251,"ANTHONY, MARLIN DANIEL",FL,9,REPUBLICAN PARTY,House,Challenger,C,Republican,marlin  anthony,,,,,,,
157,H2NJ06244,"ANTISELL, ERIC",NJ,6,OTHER,House,Challenger,N,Other,eric  antisell,,,,,,,
158,H2TX14214,"ANTONELLI, JEFF",TX,14,DEMOCRATIC PARTY,House,Challenger,P,Democrat,jeff  antonelli,,,,,,,
159,H2NY01141,"ANTONUCCI, NICHOLAS",NY,1,DEMOCRATIC PARTY,House,Open seat,P,Democrat,nicholas  antonucci,,,,,,,
160,H0FL19163,"AQUINO, DARREN DIONE MR.",FL,25,REPUBLICAN PARTY,House,Challenger,P,Republican,darren  aquino,,,,,,,
161,H2TX35185,"ARAGONA, JENAI",TX,35,REPUBLICAN PARTY,House,Challenger,P,Republican,jenai  aragona,https://ballotpedia.org/Jenai_Aragona-Hales,,jenaih,42838122,,,
163,H0CA22102,"ARBALLO, PHIL",CA,13,DEMOCRATIC PARTY,House,Challenger,C,Democrat,phil  arballo,https://ballotpedia.org/Phil_Arballo,,,,,,
165,H0IA01174,"ARENHOLZ, ASHLEY HINSON",IA,2,REPUBLICAN PARTY,House,Incumbent,C,Republican,ashley  arenholz,,H001091,hinsonashley,18189966,,,
166,H2KY38012,"ARGYLE, MARK MR",KY,38,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,mark  argyle,,,,,,,
168,H2FL21140,"ARIANAS, PETER STEVEN",FL,22,REPUBLICAN PARTY,House,Challenger,P,Republican,peter  arianas,https://ballotpedia.org/Peter_Arianas,,peter_arianas,1425284025338433544,,,
170,H0TX16106,"ARMENDARIZ-JACKSON, IRENE",TX,16,REPUBLICAN PARTY,House,Challenger,P,Republican,irene  armendarizjackson,https://ballotpedia.org/Irene_Armendariz-Jackson,,amazingurl09,44760079,,,
171,H0TX16106,"ARMENDARIZ-JACKSON, IRENE",TX,16,REPUBLICAN PARTY,House,Challenger,P,Republican,irene  armendarizjackson,https://ballotpedia.org/Irene_Armendariz-Jackson,,ArmendarizDis16,1225469439698702338,,,
172,H2AK00267,"ARMSTRONG, JAY R",AK,0,WRITE-IN,House,Open seat,N,Other,jay  armstrong,,,,,,,
173,H8ND00096,"ARMSTRONG, KELLY",ND,0,REPUBLICAN PARTY,House,Incumbent,C,Republican,kelly  armstrong,https://ballotpedia.org/Kelly_Armstrong_(North_Dakota),A000377,armstrong_km,1426714956,,,
174,H8ND00096,"ARMSTRONG, KELLY",ND,0,REPUBLICAN PARTY,House,Incumbent,C,Republican,kelly  armstrong,https://ballotpedia.org/Kelly_Armstrong_(North_Dakota),A000377,Armstrong_ND,964996994623311874,,,
175,H8ND00096,"ARMSTRONG, KELLY",ND,0,REPUBLICAN PARTY,House,Incumbent,C,Republican,kelly  armstrong,https://ballotpedia.org/Kelly_Armstrong_(North_Dakota),A000377,RepArmstrongND,1080515866255593472,,,
177,H2NJ09149,"ARMSTRONG, SEAN ARMSTRONG",NJ,9,LIBERTARIAN PARTY,House,Challenger,N,Other,sean  armstrong,https://ballotpedia.org/Sean_Armstrong_(New_Jersey),,sarmcast,2236658947,No tweets found.,,
179,H2CO00043,"ARNOLD, JAMES G",CO,0,REPUBLICAN PARTY,House,Challenger,N,Republican,james  arnold,,,,,,,
180,H8WA08080,"ARNOLD, KEITH",WA,8,DEMOCRATIC PARTY,House,Challenger,N,Democrat,keith  arnold,https://ballotpedia.org/Keith_Arnold,,,,,,
181,H2MI10127,"ARRAF, HUWAIDA",MI,10,DEMOCRATIC PARTY,House,Challenger,P,Democrat,huwaida  arraf,https://ballotpedia.org/Huwaida_Arraf,,huwaidaarraf,253320860,,,
182,H2MI10127,"ARRAF, HUWAIDA",MI,10,DEMOCRATIC PARTY,House,Challenger,P,Democrat,huwaida  arraf,https://ballotpedia.org/Huwaida_Arraf,,huwaida4mi,1455952964397457408,,,
185,H2TX23140,"ARREDONDO-LYNCH, ALMA G DR. D.D.S.",TX,23,REPUBLICAN PARTY,House,Challenger,P,Republican,alma  arredondolynch,https://ballotpedia.org/Alma_Arredondo-Lynch,,arredondo_lynch,1187810136368340992,,,
187,H6TX19099,"ARRINGTON, JODEY",TX,19,REPUBLICAN PARTY,House,Incumbent,N,Republican,jodey  arrington,https://ballotpedia.org/Jodey_Arrington,A000375,JodeyArrington,3609064098,,,
188,H6TX19099,"ARRINGTON, JODEY",TX,19,REPUBLICAN PARTY,House,Incumbent,N,Republican,jodey  arrington,https://ballotpedia.org/Jodey_Arrington,A000375,RepArrington,816284664658874368,,,
190,H2SC01150,"ARRINGTON, KATIE",SC,1,REPUBLICAN PARTY,House,Challenger,C,Republican,katie  arrington,https://ballotpedia.org/Katie_Arrington,,karringtonsc,25375137,,,
191,H2NJ08299,"ARROYO, MARCOS",NJ,8,REPUBLICAN PARTY,House,Open seat,N,Republican,marcos  arroyo,https://ballotpedia.org/Marcos_Arroyo,,,,,,
192,H2SC07231,"ARTHUR, BARBARA MRS.",SC,7,REPUBLICAN PARTY,House,Challenger,C,Republican,barbara  arthur,https://ballotpedia.org/Barbara_Arthur,,,,,,
193,H2FL28038,"ASENCIO, ROBERT",FL,28,DEMOCRATIC PARTY,House,Open seat,P,Democrat,robert  asencio,https://ballotpedia.org/Robert_Asencio,,RepAsencio,907654016963837952,,,
195,H2FL03197,"ASENSIO, MANUEL P",FL,3,REPUBLICAN PARTY,House,Challenger,P,Republican,manuel  asensio,,,,,,,
196,H8TX05052,"ASHBY, KEN",TX,33,LIBERTARIAN PARTY,House,Challenger,N,Other,ken  ashby,https://ballotpedia.org/Ken_Ashby,,,,,,
197,H2CA10186,"ASLANPOUR, SIMON MICHAEL",CA,10,REPUBLICAN PARTY,House,Challenger,N,Republican,simon  aslanpour,,,,,,,
198,H2TX08109,"ATENCIO, RUDY A",TX,7,REPUBLICAN PARTY,House,Open seat,N,Republican,rudy  atencio,https://ballotpedia.org/Rudy_Atencio,,rudy_atencio,736297793170464771,,,
201,H2TX01104,"ATHOLI, ADITYA",TX,1,REPUBLICAN PARTY,House,Open seat,C,Republican,aditya  atholi,https://ballotpedia.org/Aditya_Atholi,,Atholi4Congress,1438554171360305154,,,
202,H2FL10242,"ATKINSON, ERIC",FL,10,DEMOCRATIC PARTY,House,Open seat,N,Democrat,eric  atkinson,,,,,,,
203,H2NY01109,"ATKINSON, JOHN ROGERS IV",NY,1,DEMOCRATIC PARTY,House,Open seat,C,Democrat,john  atkinson,,,,,,,
204,H0MA04192,"AUCHINCLOSS, JAKE",MA,4,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,jake  auchincloss,https://ballotpedia.org/Jake_Auchincloss,A000148,RepAuchincloss,1330278736554582016,,,
