fec_id,name,state,district,party,office,incumbent_challenge,candidate_status
H2MI11265,"AMBROSE, MARK",MI,11,REPUBLICAN PARTY,House,Challenger,P
H2MD02368,"AMBROSE, NICOLEE",MD,02,REPUBLICAN PARTY,House,Challenger,P
H0ME01127,"AMEDE, AARON",ME,01,DEMOCRATIC PARTY,House,Challenger,N
H2OH03208,"AMICUCCI, ALEXANDER Q.",OH,03,WRITE-IN,House,Challenger,N
H2NV02395,"AMODEI, MARK EUGENE",NV,02,REPUBLICAN PARTY,House,Incumbent,C
H0VA11127,"ANANTATMULA, MANGA",VA,11,REPUBLICAN PARTY,House,Challenger,C
H2MO02169,"ANDERS, BOB",MO,02,INDEPENDENT,House,Challenger,N
H2CO07196,"ANDERSEN, CARL E",CO,07,REPUBLICAN PARTY,House,Open seat,C
H2AZ06312,"ANDERSON, BYRON AVERY",AZ,06,DEMOCRATIC PARTY,House,Challenger,N
H2WA09206,"ANDERSON, DAVID",WA,09,INDEPENDENT,House,Challenger,N
H2WA09172,"ANDERSON, DAVID",WA,09,INDEPENDENT,House,Challenger,N
H2TX35102,"ANDERSON, DAVID LEE JR",TX,21,DEMOCRATIC PARTY,House,Challenger,P
H2VA07170,"ANDERSON, DERRICK",VA,07,REPUBLICAN PARTY,House,Challenger,P
H2FL20316,"ANDERSON, DWIGHT A MR",FL,20,DEMOCRATIC PARTY,House,Open seat,N
H2VA01108,"ANDERSON, JESSICA",VA,01,DEMOCRATIC PARTY,House,NA,N
H0OH07104,"ANDERSON, JOHN DAVID",OH,06,REPUBLICAN PARTY,House,Challenger,N
H2AL02158,"ANDERSON, TERRELL",AL,02,DEMOCRATIC PARTY,House,Challenger,N
H2NJ11228,"ANDERSON, TOBY",NJ,11,REPUBLICAN PARTY,House,Challenger,P
H2MN01314,"ANDERSON, WARREN LEE",MN,01,DEMOCRATIC-FARMER-LABOR,House,Challenger,N
H2SC01127,"ANDREWS, ANNIE DR.",SC,01,DEMOCRATIC PARTY,House,Challenger,P
H2KY05193,"ANDREWS, JEANETTE",KY,05,REPUBLICAN PARTY,House,Challenger,N
H2CA09162,"ANDREWS, MARK T",CA,09,NO PARTY PREFERENCE,House,Open seat,N
H2OK02307,"ANDREWS, NAOMI",OK,02,DEMOCRATIC PARTY,House,Open seat,P
H2NC09217,"ANDRIANI, MICHAEL",NC,09,REPUBLICAN PARTY,House,Challenger,N
H2NC13227,"ANERALLA, JOHN",NC,13,REPUBLICAN PARTY,House,Open seat,P
H2MD04349,"ANGEL, ANGELA",MD,04,DEMOCRATIC PARTY,House,Open seat,P
H2CA38252,"ANI, SYLVESTER UGONNA JR.",CA,38,DEMOCRATIC PARTY,House,Challenger,C
H2FL09251,"ANTHONY, MARLIN DANIEL",FL,09,REPUBLICAN PARTY,House,Challenger,C
H2NJ06244,"ANTISELL, ERIC",NJ,06,OTHER,House,Challenger,N
H2TX14214,"ANTONELLI, JEFF",TX,14,DEMOCRATIC PARTY,House,Challenger,P
H2NY01141,"ANTONUCCI, NICHOLAS",NY,01,DEMOCRATIC PARTY,House,Open seat,P
H0FL19163,"AQUINO, DARREN DIONE MR.",FL,25,REPUBLICAN PARTY,House,Challenger,P
H2TX35185,"ARAGONA, JENAI",TX,35,REPUBLICAN PARTY,House,Challenger,P
H0CA22102,"ARBALLO, PHIL",CA,13,DEMOCRATIC PARTY,House,Challenger,C
H0IA01174,"ARENHOLZ, ASHLEY HINSON",IA,02,REPUBLICAN PARTY,House,Incumbent,C
H2KY38012,"ARGYLE, MARK MR",KY,38,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N
H2FL21140,"ARIANAS, PETER STEVEN",FL,22,REPUBLICAN PARTY,House,Challenger,P
H0TX16106,"ARMENDARIZ-JACKSON, IRENE",TX,16,REPUBLICAN PARTY,House,Challenger,P
H2AK00267,"ARMSTRONG, JAY R",AK,00,WRITE-IN,House,Open seat,N
H8ND00096,"ARMSTRONG, KELLY",ND,00,REPUBLICAN PARTY,House,Incumbent,C
H2NJ09149,"ARMSTRONG, SEAN ARMSTRONG",NJ,09,LIBERTARIAN PARTY,House,Challenger,N
H2CO00043,"ARNOLD, JAMES G",CO,00,REPUBLICAN PARTY,House,Challenger,N
H8WA08080,"ARNOLD, KEITH",WA,08,DEMOCRATIC PARTY,House,Challenger,N
H2MI10127,"ARRAF, HUWAIDA",MI,10,DEMOCRATIC PARTY,House,Challenger,P
H2TX23140,"ARREDONDO-LYNCH, ALMA G DR. D.D.S.",TX,23,REPUBLICAN PARTY,House,Challenger,P
H6TX19099,"ARRINGTON, JODEY",TX,19,REPUBLICAN PARTY,House,Incumbent,N
H2SC01150,"ARRINGTON, KATIE",SC,01,REPUBLICAN PARTY,House,Challenger,C
H2NJ08299,"ARROYO, MARCOS",NJ,08,REPUBLICAN PARTY,House,Open seat,N
H2SC07231,"ARTHUR, BARBARA MRS.",SC,07,REPUBLICAN PARTY,House,Challenger,C
H2FL28038,"ASENCIO, ROBERT",FL,28,DEMOCRATIC PARTY,House,Open seat,P
H2FL03197,"ASENSIO, MANUEL P",FL,03,REPUBLICAN PARTY,House,Challenger,P
H8TX05052,"ASHBY, KEN",TX,33,LIBERTARIAN PARTY,House,Challenger,N
H2CA10186,"ASLANPOUR, SIMON MICHAEL",CA,10,REPUBLICAN PARTY,House,Challenger,N
H2TX08109,"ATENCIO, RUDY A",TX,07,REPUBLICAN PARTY,House,Open seat,N
H2TX01104,"ATHOLI, ADITYA",TX,01,REPUBLICAN PARTY,House,Open seat,C
H2FL10242,"ATKINSON, ERIC",FL,10,DEMOCRATIC PARTY,House,Open seat,N
H2NY01109,"ATKINSON, JOHN ROGERS IV",NY,01,DEMOCRATIC PARTY,House,Open seat,C
H0MA04192,"AUCHINCLOSS, JAKE",MA,04,DEMOCRATIC PARTY,House,Incumbent,C
H2MD06286,"AUGUST, DAVID",MD,06,INDEPENDENT,House,Challenger,N
H2KY01085,"AUSBROOKS, JIMMY CLIFTON",KY,01,DEMOCRATIC PARTY,House,Challenger,P
H2WI07123,"AUSMAN, RICHARD",WI,07,DEMOCRATIC PARTY,House,Challenger,P
H2NC06080,"AUSTIN, GERALD DARRYLL",NC,06,REPUBLICAN PARTY,House,Challenger,N
H2MT02175,"AUSTIN, KYLE RAY",MT,02,REPUBLICAN PARTY,House,Challenger,N
H2CA26174,"AUSTIN, PETER DUMOND",CA,26,INDEPENDENT,House,Challenger,N
H2CA39169,"AUZENNE, ORAY",CA,39,DEMOCRATIC PARTY,House,Challenger,N
H2PA01123,"AVERY, CAROLINE",PA,01,LIBERTARIAN PARTY,House,Challenger,P
H2MS01130,"AVERY, HUNTER KYLE MR.",MS,01,DEMOCRATIC PARTY,House,Challenger,N
H2CO05224,"AVION, ORLONDO",CO,05,DEMOCRATIC PARTY,House,Challenger,N
H8TN09122,"AWGOWHAT, LEO",TN,09,REPUBLICAN PARTY,House,Challenger,N
H2OH14106,"AWTREY, PATRICK EUGENE MR.",OH,14,REPUBLICAN PARTY,House,Challenger,P
H8IA03124,"AXNE, CINDY",IA,03,DEMOCRATIC PARTY,House,Incumbent,P
H2FL10192,"AYALA, ARAMIS",FL,10,DEMOCRATIC PARTY,House,Open seat,C
H8VA10189,"AYYAS, SHADI",VA,10,DEMOCRATIC PARTY,House,Challenger,P
H0VA02167,"BAAN, ANDY",VA,02,REPUBLICAN PARTY,House,Challenger,C
H0GA07307,"BABBAGE, LISA NOEL DR.",GA,07,REPUBLICAN PARTY,House,Challenger,P
H2VA11248,"BABB, JOSEPH RAY",VA,11,REPUBLICAN PARTY,House,Challenger,C
H2NV02601,"BABER, DARRYL",NV,02,LIBERTARIAN PARTY,House,Challenger,N
H6TX02079,"BABIN, BRIAN",TX,36,REPUBLICAN PARTY,House,Incumbent,C
H6NE02125,"BACON, DONALD J",NE,02,REPUBLICAN PARTY,House,Incumbent,C
H2NJ02060,"BACON, ROGER",NJ,07,DEMOCRATIC PARTY,House,Challenger,N
H2OH05047,"BADDAR, YOUSEFF MILAD",OH,09,INDEPENDENT,House,Challenger,P
H2UT01268,"BADGER, ANDREW",UT,01,REPUBLICAN PARTY,House,Challenger,P
H0LA05088,"BADGER, JOHN ROBERT",LA,05,INDEPENDENT,House,Challenger,N
H2MN04169,"BADHASSO, AMANE",MN,04,DEMOCRATIC-FARMER-LABOR,House,Challenger,P
H2NY23111,"BAHAR, HUGH",NY,23,REPUBLICAN PARTY,House,Open seat,N
H2RI02218,"BAH, OMAR",RI,02,DEMOCRATIC PARTY,House,Open seat,P
H2IN09324,"BAILEY, JACOB",IN,09,WRITE-IN,House,Challenger,N
H2TX05238,"BAILEY, KATHLEEN CORDELIA",TX,05,DEMOCRATIC PARTY,House,Challenger,C
H2CA52154,"BAILEY, RICHARD",CA,52,REPUBLICAN PARTY,House,Challenger,P
H2CO01207,"BAILEY, SCOTT CHRISTIAN MR.",CO,01,CONSERVATIVE PARTY,House,Challenger,N
H2SC07181,"BAILEY, WILLIAM",SC,07,REPUBLICAN PARTY,House,Challenger,N
H8IN04199,"BAIRD, JAMES R DR.",IN,04,REPUBLICAN PARTY,House,Incumbent,C
H2IN01214,"BAKER, JIM",IN,09,REPUBLICAN PARTY,House,Open seat,C
H2GA13087,"BAKER, MARK",GA,13,DEMOCRATIC PARTY,House,Challenger,P
H0TN01191,"BAKER, RICHARD",TN,01,INDEPENDENT,House,Challenger,N
H2GA14127,"BAKER, RONALD D MR SR",GA,14,DEMOCRATIC PARTY,House,Challenger,N
H2CA48111,"BALASINSKI, KRZYSZTOF CHRIS",CA,48,INDEPENDENT,House,Challenger,N
H2FL18096,"BALDERRAMOS ROBINSON, CORINNA",FL,21,DEMOCRATIC PARTY,House,Challenger,P
H8OH12180,"BALDERSON, WILLIAM TROY",OH,12,REPUBLICAN PARTY,House,Incumbent,N
H2VT01076,"BALINT, REBECCA 'BECCA'",VT,00,DEMOCRATIC PARTY,House,Incumbent,C
H2MT01094,"BALLARD, JACK",MT,02,DEMOCRATIC PARTY,House,Challenger,P
H2VA11263,"BANKS, BARBARA",VA,11,REPUBLICAN PARTY,House,Challenger,N
H6IN03229,"BANKS, JAMES E HON.",IN,03,REPUBLICAN PARTY,House,Incumbent,N
H2OK05177,"BANKS, SUBRINA",OK,05,REPUBLICAN PARTY,House,Challenger,C
H2ID01168,"BANNER, MICHAEL DOUGLAS MR.",ID,01,DEMOCRATIC PARTY,House,Challenger,N
H0IL11128,"BANSAL, KRISHNA K",IL,11,REPUBLICAN PARTY,House,Challenger,N
H0FL19106,"BANYAI, CINDY LYN",FL,19,DEMOCRATIC PARTY,House,Challenger,P
H0OR01152,"BARAJAS, RICARDO",OR,06,DEMOCRATIC PARTY,House,Open seat,N
H2MA02093,"BARASSI, NICHOLAS",MA,02,REPUBLICAN PARTY,House,Challenger,N
H2NC04168,"BARBOUR, DEVAN IV",NC,13,REPUBLICAN PARTY,House,Challenger,C
H2MO05378,"BARHAM, JERRY",MO,05,REPUBLICAN PARTY,House,Challenger,P
H2OK02281,"BARKER, GUY STUART",OK,02,REPUBLICAN PARTY,House,Open seat,P
H2NJ03266,"BARKER, JOHN",NJ,02,REPUBLICAN PARTY,House,Challenger,N
H2CA00096,"BARKLEY, MICHAEL JAMES MR.",CA,05,DEMOCRATIC PARTY,House,Challenger,C
H2WI01134,"BARMAN, CHARLES E.",WI,01,OTHER,House,Challenger,N
H2FL09210,"BARNARD, ALYCIA",FL,09,REPUBLICAN PARTY,House,Challenger,N
H2IN09258,"BARNES-ISRAEL, STU",IN,09,REPUBLICAN PARTY,House,Open seat,P
H0AZ07082,"BARNETT, JOSH",AZ,01,REPUBLICAN PARTY,House,Challenger,P
H8TX03081,"BARONE, ROGER RICHARD MR.",TX,03,REPUBLICAN PARTY,House,Open seat,N
H2CA50182,"BAROSAY, MARI MS",CA,50,DEMOCRATIC PARTY,House,Challenger,N
H6CA44103,"BARRAGAN, NANETTE",CA,44,DEMOCRATIC PARTY,House,Incumbent,C
H2MI07123,"BARRETT, THOMAS MORE",MI,07,REPUBLICAN PARTY,House,Challenger,P
H0KY06104,"BARR, GARLAND ANDY",KY,06,REPUBLICAN PARTY,House,Incumbent,C
H2KY03198,"BARRIOS MORENO, DARIEN D",KY,03,REPUBLICAN PARTY,House,Open seat,N
H2GA10166,"BARR, TIMOTHY",GA,10,REPUBLICAN PARTY,House,Open seat,P
H2WI02173,"BARRY, CHARITY",WI,02,REPUBLICAN PARTY,House,Challenger,P
H2NY01232,"BARSKY, DAVID DR.",NY,01,DEMOCRATIC PARTY,House,Open seat,N
H2CA49267,"BARTLETT, LISA",CA,49,REPUBLICAN PARTY,House,Challenger,P
H2SC07298,"BARTON, GARRETT DR.",SC,07,REPUBLICAN PARTY,House,Challenger,P
H2PA31013,"BARUCH, SILVESTER MR",PA,31,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N
H2VA07147,"BARVE, GARY",VA,07,REPUBLICAN PARTY,House,Challenger,C
H2PA02170,"BASHIR, HAROON",PA,02,REPUBLICAN PARTY,House,Challenger,N
H4WA09061,"BASLER, DOUGLAS MICHAEL",WA,09,REPUBLICAN PARTY,House,Challenger,P
H0CA33117,"BASS, KAREN",CA,37,DEMOCRATIC PARTY,House,Incumbent,P
H2TN05396,"BATCHELOR, GENI MRS.",TN,05,REPUBLICAN PARTY,House,Open seat,P
H2NC11239,"BATCHELOR, JAMES ERIC",NC,11,REPUBLICAN PARTY,House,Challenger,C
H2TX08190,"BATES, BETSY",TX,08,REPUBLICAN PARTY,House,Open seat,N
H2CA36470,"BATTERSBY, MITCHELL A",CA,36,DEMOCRATIC PARTY,House,Challenger,N
H2CA47196,"BAUGH, SCOTT",CA,47,REPUBLICAN PARTY,House,Challenger,N
H2NH01262,"BAXTER, TIM",NH,01,REPUBLICAN PARTY,House,Challenger,P
H2CA14188,"BEACH, EMILY",CA,15,DEMOCRATIC PARTY,House,Open seat,C
H2NC11155,"BEACH-FERRARA, JASMINE",NC,11,DEMOCRATIC PARTY,House,Challenger,P
H4IN04032,"BEACHY, PHILLIP D",IN,03,DEMOCRATIC PARTY,House,Challenger,N
H2AK00440,"BEAL, BRIAN T.",AK,00,NA,House,Open seat,N
H2FL04211,"BEAN, AARON P.",FL,04,REPUBLICAN PARTY,House,Incumbent,N
H2KS01079,"BEARD, JAMES KENNETH",KS,01,DEMOCRATIC PARTY,House,Challenger,P
H2MD03226,"BEARDSLEY, BENJAMIN RYAN",MD,03,DEMOCRATIC PARTY,House,Challenger,N
H2VA10141,"BEATTY, JOHN",VA,10,REPUBLICAN PARTY,House,Challenger,C
H2OH03125,"BEATTY, JOYCE",OH,03,DEMOCRATIC PARTY,House,Incumbent,C
H2TX37066,"BEAUBOUEF, RICHARD QUINTON",TX,37,DEMOCRATIC PARTY,House,Open seat,N
H2NV03161,"BECKER, APRIL",NV,03,REPUBLICAN PARTY,House,Challenger,P
H2AZ07195,"BECKER, NINA",AZ,07,REPUBLICAN PARTY,House,Challenger,N
H8NV02137,"BECK, JOEL",NV,02,REPUBLICAN PARTY,House,Challenger,N
H2TX24155,"BECKLEY, MICHELLE",TX,24,DEMOCRATIC PARTY,House,Challenger,P
H2AK00457,"BECK, TIM",AK,00,NA,House,Open seat,N
H2VA10273,"BECKWITH, DAVID",VA,10,REPUBLICAN PARTY,House,Challenger,C
H2AK01083,"BEGICH, NICHOLAS III",AK,00,REPUBLICAN PARTY,House,Challenger,P
H2TN05479,"BEIERLEIN, JEFF",TN,05,REPUBLICAN PARTY,House,Open seat,P
H8OR04134,"BEILSTEIN, MICHAEL ALLAN",OR,04,PACIFIC GREEN,House,Challenger,N
H2WY29017,"BELINSKEY, ROBYN MARIWE",WY,00,REPUBLICAN PARTY,House,Challenger,N
H2AL03107,"BELL, DOUGLAS A.",AL,03,INDEPENDENT,House,Challenger,P
H2MI13386,"BELLE, ANITA EILEEN",MI,13,NA,House,Challenger,N
H2CA25192,"BELLINGHAM, CHRIS",CA,25,DEMOCRATIC PARTY,House,Challenger,N
H0VA02175,"BELL, JAROME",VA,02,REPUBLICAN PARTY,House,Challenger,P
H2FL06208,"BELL, MATT",FL,06,DEMOCRATIC PARTY,House,Challenger,N
H2PA28019,"BELMONT, MARTHA MRS",PA,28,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N
H2MD05544,"BELSON, ELAINE SARAH",MD,05,DEMOCRATIC PARTY,House,Challenger,N
H2CA42247,"BELTRAN, JOAQUIN",CA,42,DEMOCRATIC PARTY,House,Challenger,P
H2LA06041,"BELZER, BRIAN T",LA,06,REPUBLICAN PARTY,House,Challenger,N
H2TX28081,"BENAVIDES, TANNYA",TX,28,DEMOCRATIC PARTY,House,Challenger,P
H2NY13146,"BEN-AVI, TYRRELL LEV",NY,13,INDEPENDENT,House,Challenger,N
H2MN01181,"BENDA, MATTHEW L.",MN,01,REPUBLICAN PARTY,House,Open seat,C
H2FL07180,"BENFIELD, ERIKA",FL,07,REPUBLICAN PARTY,House,Open seat,P
H2OH10260,"BENJAMIN, KIRK ALAN",OH,10,DEMOCRATIC PARTY,House,Challenger,N
H0VA04064,"BENJAMIN, LEON MR. SR.",VA,04,REPUBLICAN PARTY,House,Open seat,C
H2SC04162,"BENNETT, JUSTIN ALEXANDER MR.",SC,04,DEMOCRATIC PARTY,House,Challenger,N
H0NC11191,"BENNETT, LYNDA",NC,11,REPUBLICAN PARTY,House,Challenger,N
H2TN04290,"BENSON, CLYDE",TN,04,REPUBLICAN PARTY,House,Challenger,N
H2IN06296,"BENSON, ERIK",IN,06,REPUBLICAN PARTY,House,Challenger,N
H2NC13201,"BENTLEY, KAREN W",NC,13,REPUBLICAN PARTY,House,Open seat,P
H0OR02127,"BENTZ, CLIFF",OR,02,REPUBLICAN PARTY,House,Incumbent,C
H0CA03078,"BERA, AMERISH",CA,06,DEMOCRATIC PARTY,House,Incumbent,C
H2NY18095,"BEREAN, MICHAEL FRANCIS",NY,18,DEMOCRATIC PARTY,House,Challenger,N
H6MI01226,"BERGMAN, JOHN",MI,01,REPUBLICAN PARTY,House,Incumbent,N
H0TN09061,"BERGMANN, CHARLOTTE",TN,09,REPUBLICAN PARTY,House,Challenger,P
H2TX22167,"BERG, MATTHEW RICHARD MR.",TX,22,DEMOCRATIC PARTY,House,Challenger,P
H2FL23245,"BERK, JEFFREY",FL,23,REPUBLICAN PARTY,House,Challenger,N
H2MN07154,"BERMAN, JOHN",MN,07,REPUBLICAN PARTY,House,Challenger,N
H2MN01215,"BERMAN, JOHN",MN,01,REPUBLICAN PARTY,House,Open seat,N
H2MN05182,"BERMAN, JOHN",MN,05,REPUBLICAN PARTY,House,Challenger,N
H2MN06222,"BERMAN, JOHN",MN,06,REPUBLICAN PARTY,House,Challenger,N
H2FL42013,"BERNSTEIN, ERIC MR",FL,42,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N
H2MO02219,"BERRY, PAUL III",MO,02,REPUBLICAN PARTY,House,Challenger,N
H2FL15118,"BERTGES, BRIAN JOHN MR.",FL,15,NO PARTY AFFILIATION,House,Challenger,N
H2AZ06320,"BERTONE, FRANK",AZ,06,WRITE-IN,House,Challenger,N
H2PA05124,"BESTMAN, WILLIAM DAVID",PA,05,WRITE-IN,House,Challenger,N
H0NV02167,"BEST, RUSSELL",NV,02,INDEPENDENT AMERICAN PARTY,House,Challenger,N
H2KS22018,"BETTER, DANIEL ERICSON MR",KS,22,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N
H4VA08224,"BEYER, DONALD STERNOFF JR.",VA,08,DEMOCRATIC PARTY,House,Incumbent,C
H2NY03196,"BIAGGI, ALESSANDRA",NY,17,DEMOCRATIC PARTY,House,Challenger,P
H2FL22221,"BIANCHI, MICHAEL JOHN",FL,22,NO PARTY AFFILIATION,House,Challenger,N
H2NJ11244,"BIASCO, JOSEPH NICHOLAS MR.",NJ,11,LIBERTARIAN PARTY,House,Challenger,N
H0OK05205,"BICE, STEPHANIE",OK,05,REPUBLICAN PARTY,House,Incumbent,C
